dist,z_bed,z_surf_1932,z_surf_1956,z_surf_1967,z_surf_1982,z_surf_1991,z_surf_2004,z_surf_2008,z_surf_2012,z_surf_2017,z_surf_2020
0.0,3882.4221,3915.4,3915.79,3915.96,3909.71,3914.55,3915.87,3913.65,3914.82,3913.01865,3911.310609536
101.51949263736776,3867.3525584113154,3893.5659314450027,3895.026493321151,3896.763465221713,3906.3386571288634,3895.2034411069844,3895.428832148281,3897.6101173550796,3893.3383330968063,3894.0146762666864,3892.6471316622356
202.9280686928277,3817.207569552647,3835.145665792411,3838.2221603118332,3840.8149780574076,3844.4416273328634,3831.245966368391,3844.806748453447,3840.644178708905,3833.4764536612392,3835.7788614977408,3832.625648559216
304.1148803213058,,3721.507298829199,3722.963787657297,3723.0505789712947,3723.632843772583,3711.1711518548555,3715.671277666872,3718.370179443545,3713.1351758534893,3711.201132731246,3710.067627548761
404.96921829135226,3618.1185418454243,3639.37067807546,3643.983265739258,3648.4009225479963,3641.3366866503266,3645.773444666896,3642.4343434581447,3645.859135292891,3639.9865746491714,3645.8132930208176,3643.485291224093
505.3805841507747,3564.389955616842,3606.1166127099705,3612.3229330868558,3626.453978181973,3602.8199875484547,3609.123275226122,3609.7186453107606,3608.866245738218,3605.509424533374,3606.2838296203236,3604.6526698850244
605.2387659369557,3531.507646146501,3576.8672469697044,3580.3781060606157,3588.5299999999907,3585.101818181821,3576.5228030303106,3578.4449000000095,3579.829393939399,3577.071187878795,3576.6132190200233,3575.5980003707714
704.4339187621341,3503.184423513468,3547.862020202009,3549.224166666653,3550.254439393926,3550.446818181808,3549.6169191919166,3548.507070707047,3547.638535353555,3547.197196969683,3549.4317341777255,3547.551172809944
802.856651761107,3451.0656537564228,3502.4362663494226,3507.116280540653,3505.8541195770863,3509.670226580055,3500.33987600022,3502.4699789636156,3501.254211170375,3500.419926519806,3501.69518884452,3498.329552684122
900.3981231020093,3386.7472144841067,3463.329605935286,3463.290522984614,3463.332987268484,3478.576964144472,3460.723075642352,3460.8054235961117,3458.351378111282,3457.2228022204117,3458.0275420194603,3454.205804144046
996.9501449896454,3330.441375499761,3437.8143500963142,3439.4601469676436,3436.6000027481705,3453.541307441177,3436.0686980551636,3432.7243510123717,3434.5995679522857,3430.668118429101,3430.048919730176,3428.210854340431
1092.405300955173,3316.2354691945425,3425.816388888894,3426.933066666676,3424.660288888896,3428.1474888888874,3417.8861111111128,3417.030000000003,3415.9269444444476,3413.4061222222263,3411.45348432038,3409.7061710050325
1186.6570781179503,3312.2371447678906,3406.9329379235787,3405.8229720227882,3403.744916492974,3406.794052182454,3402.0088462968774,3396.9788655481134,3395.9523788109627,3393.0460505146193,3392.807814521252,3390.3232992851135
1279.6000176431298,3301.247834917869,3386.6712268418028,3381.9362479198635,3380.990965173029,3385.7709897469467,3378.0122263786225,3375.9465846398825,3374.904755977679,3371.5238013904145,3371.7732207667927,3368.8430040193743
1371.1298872858342,3281.3147069989373,3360.376388888875,3360.5989646464304,3356.2821969696706,3366.5551767676743,3353.2809949494685,3351.3746717171425,3350.8628535353273,3347.5441262625964,3348.4114167930034,3345.383642647563
1461.143880760542,3256.0187376890176,3343.410657187199,3342.985702114608,3340.7954439686887,3337.672619282127,3337.805263140696,3334.2256991893382,3333.394531184964,3328.817974976294,3330.603508980649,3327.707440796229
1549.5408497177161,3230.0960591085372,3332.652109041427,3331.4786853646324,3332.605532718221,3332.3892553901096,3327.4750301252157,3324.466635524847,3321.1723021850767,3317.197311527623,3317.6896276191887,3315.2815746233264
1636.2215754978183,3221.5616641850097,3320.111115222033,3321.0895474081517,3323.220099691628,3327.0121627462845,3317.3937849483614,3313.6392721950715,3313.520905220688,3308.90832036541,3309.3585109245346,3306.995121410209
