x,y
2587500.0,1089000.0
2587602.3527481924,1089060.606060606
2587704.4523647954,1089121.2121212122
2587806.045718219,1089181.8181818181
2587906.879676874,1089242.4242424243
2588006.7011091695,1089303.0303030303
2588105.256883517,1089363.6363636365
2588202.293868326,1089424.2424242424
2588297.5589320078,1089484.8484848484
2588390.7989429715,1089545.4545454546
2588481.760769629,1089606.0606060605
2588570.191280389,1089666.6666666667
2588655.8373436625,1089727.2727272727
2588738.4458278604,1089787.878787879
2588817.7636013916,1089848.4848484849
2588893.5375326676,1089909.0909090908
2588965.5144900987,1089969.696969697
2589033.449162707,1090030.303030303
2589097.276113618,1090090.9090909092
2589157.1097800536,1090151.5151515151
2589213.072419851,1090212.121212121
2589265.2862908477,1090272.7272727273
2589313.8736508796,1090333.3333333333
2589358.956757783,1090393.9393939395
2589400.657869396,1090454.5454545454
2589439.0992435534,1090515.1515151516
2589474.403138093,1090575.7575757576
2589506.691810852,1090636.3636363635
2589536.0875196657,1090696.9696969697
2589562.7125223717,1090757.5757575757
2589586.6890768064,1090818.1818181819
2589608.139440806,1090878.7878787878
2589627.185872209,1090939.393939394
2589643.9506288497,1091000.0
2589658.5559685663,1091060.606060606
2589671.124149195,1091121.2121212122
2589681.7774285725,1091181.8181818181
2589690.6380645353,1091242.4242424243
2589697.8283149214,1091303.0303030303
2589703.4704375654,1091363.6363636365
2589707.6866903054,1091424.2424242424
2589710.599330977,1091484.8484848484
2589712.330617418,1091545.4545454546
2589713.0028074645,1091606.0606060605
2589712.738158954,1091666.6666666667
2589711.6589297215,1091727.2727272727
2589709.887377605,1091787.878787879
2589707.5457604406,1091848.4848484849
2589704.7563360655,1091909.0909090908
2589701.6413623164,1091969.696969697
2589698.3158761975,1092030.303030303
2589694.728835594,1092090.9090909092
2589690.6631192677,1092151.5151515151
2589685.8943851483,1092212.121212121
2589680.1982911676,1092272.7272727273
2589673.350495256,1092333.3333333333
2589665.126655345,1092393.9393939395
2589655.302429364,1092454.5454545454
2589643.6534752455,1092515.1515151516
2589629.955450919,1092575.7575757576
2589613.984014316,1092636.3636363635
2589595.5148233664,1092696.9696969697
2589574.323536002,1092757.5757575757
2589550.185810153,1092818.1818181819
2589522.8773037507,1092878.7878787878
2589492.173674725,1092939.393939394
2589457.8505810075,1093000.0
2589419.6836805292,1093060.606060606
2589377.453460313,1093121.2121212122
2589331.229805558,1093181.8181818181
2589281.5309690014,1093242.4242424243
2589228.913749307,1093303.0303030303
2589173.9349451372,1093363.6363636365
2589117.151355157,1093424.2424242424
2589059.1197780287,1093484.8484848484
2589000.3970124163,1093545.4545454546
2588941.5398569833,1093606.0606060605
2588883.105110394,1093666.6666666667
2588825.6495713107,1093727.2727272727
2588769.7300383975,1093787.878787879
2588715.903310318,1093848.4848484849
2588664.7261857362,1093909.0909090908
2588616.7554633147,1093969.696969697
2588572.5479417173,1094030.303030303
2588532.660419608,1094090.9090909092
2588497.6496956507,1094151.5151515151
2588468.0725685074,1094212.121212121
2588444.482694107,1094272.7272727273
2588427.086971999,1094333.3333333333
2588415.436162309,1094393.9393939395
2588409.00800027,1094454.5454545454
2588407.280221118,1094515.1515151516
2588409.730560088,1094575.7575757576
2588415.836752414,1094636.3636363635
2588425.07653333,1094696.9696969697
2588436.927638073,1094757.5757575757
2588450.8678018767,1094818.1818181819
2588466.3747599754,1094878.7878787878
2588482.926247605,1094939.393939394
2588499.9999999995,1095000.0
