x,y
918000.0,300500.0
918036.3636363636,300525.2278332524
918072.7272727273,300550.471911939
918109.0909090909,300575.74848149373
918145.4545454546,300601.07378735085
918181.8181818182,300626.46407494455
918218.1818181818,300651.93558970874
918254.5454545454,300677.50457707775
918290.9090909091,300703.1872824856
918327.2727272727,300728.9999513665
918363.6363636364,300754.95882915444
918400.0,300781.08016128367
918436.3636363636,300807.38019318826
918472.7272727273,300833.8751703023
918509.0909090909,300860.58133806
918545.4545454546,300887.5149418954
918581.8181818182,300914.69222724263
918618.1818181818,300942.1294395358
918654.5454545454,300969.8428242091
918690.9090909091,300997.8486266967
918727.2727272727,301026.1630924326
918763.6363636364,301054.80246685096
918800.0,301083.782995386
918836.3636363636,301113.1209234717
918872.7272727273,301142.83249654225
918909.0909090909,301172.93396003183
918945.4545454546,301203.4415593744
918981.8181818182,301234.3715400043
919018.1818181818,301265.7377181154
919054.5454545454,301297.4980373827
919090.9090909091,301329.554568962
919127.2727272727,301361.80695476854
919163.6363636364,301394.154836718
919200.0,301426.497856726
919236.3636363636,301458.7356567081
919272.7272727273,301490.76787857985
919309.0909090909,301522.4941642568
919345.4545454546,301553.8141556546
919381.8181818182,301584.6274946888
919418.1818181818,301614.8338232748
919454.5454545454,301644.33278332854
919490.9090909091,301673.02401676535
919527.2727272727,301700.80716550094
919563.6363636364,301727.5818714508
919600.0,301753.2477765305
919636.3636363636,301777.70452265575
919672.7272727273,301800.8517517419
919709.0909090909,301822.5891057047
919745.4545454546,301842.81622645963
919781.8181818182,301861.43275592243
919818.1818181818,301878.3383360084
919854.5454545454,301893.4326086334
919890.9090909091,301906.6152157129
919927.2727272727,301917.7857991624
919963.6363636364,301926.8440008977
920000.0,301933.68946283415
920036.3636363636,301938.2218268874
920072.7272727273,301940.3407349731
920109.0909090909,301939.9458290066
920145.4545454546,301936.93675090384
920181.8181818182,301931.2131425801
920218.1818181818,301922.6746459511
920254.5454545454,301911.22090293234
920290.9090909091,301896.7515554395
920327.2727272727,301879.16624538804
920363.6363636364,301858.36461469356
920400.0,301834.2463052718
920436.3636363636,301806.7109590381
920472.7272727273,301775.65821790823
920509.0909090909,301740.9885165932
920545.4545454546,301702.6982180574
920581.8181818182,301660.9699922039
920618.1818181818,301616.00791441405
920654.5454545454,301568.0160600686
920690.9090909091,301517.1985045487
920727.2727272727,301463.7593232354
920763.6363636364,301407.90259150986
920800.0,301349.83238475316
920836.3636363636,301289.75277834624
920872.7272727273,301227.8678476703
920909.0909090909,301164.38166810636
920945.4545454546,301099.49831503554
920981.8181818182,301033.42186383886
921018.1818181818,300966.38762634504
921054.5454545454,300899.3493526735
921090.9090909091,300833.9792312357
921127.2727272727,300771.98068689
921163.6363636364,300715.05714084767
921200.0,300664.1950950947
921236.3636363636,300617.6599923632
921272.7272727273,300573.071809211
921309.0909090909,300528.0505221954
921345.4545454546,300480.21610787394
921381.8181818182,300427.1886180567
921418.1818181818,300367.2847165908
921454.5454545454,300301.22034155554
921490.9090909091,300230.2275876651
921527.2727272727,300155.5385496331
921563.6363636364,300078.3853221735
921600.0,300000.0
