x,y
2594250.0,1094250.0
2594277.777777778,1094274.4917016467
2594305.5555555555,1094298.8488828668
2594333.3333333335,1094322.9370232348
2594361.111111111,1094346.6216023238
2594388.888888889,1094369.7680997085
2594416.6666666665,1094392.2419949616
2594444.4444444445,1094413.9087676578
2594472.222222222,1094434.63389737
2594500.0,1094454.2828636728
2594527.777777778,1094472.7211461398
2594555.5555555555,1094489.814224344
2594583.3333333335,1094505.4323168586
2594611.111111111,1094519.5320144116
2594638.888888889,1094532.1453152741
2594666.6666666665,1094543.306751114
2594694.4444444445,1094553.050853599
2594722.222222222,1094561.4121543972
2594750.0,1094568.4251851768
2594777.777777778,1094574.1244776056
2594805.5555555555,1094578.544563351
2594833.3333333335,1094581.7199740817
2594861.111111111,1094583.6852414655
2594888.888888889,1094584.47489717
2594916.6666666665,1094584.1234728636
2594944.4444444445,1094582.6655002139
2594972.222222222,1094580.135510889
2595000.0,1094576.5680365572
2595027.777777778,1094571.9976088859
2595055.5555555555,1094566.4587595433
2595083.3333333335,1094559.9860201974
2595111.111111111,1094552.6139225163
2595138.888888889,1094544.3769981677
2595166.6666666665,1094535.3097788196
2595194.4444444445,1094525.44679614
2595222.222222222,1094514.8225817967
2595250.0,1094503.4716674578
2595277.777777778,1094491.4285847913
2595305.5555555555,1094478.7278654652
2595333.3333333335,1094465.4040411476
2595361.111111111,1094451.491643506
2595388.888888889,1094437.0252042087
2595416.6666666665,1094422.0392549236
2595444.4444444445,1094406.5683273184
2595472.222222222,1094390.6469530615
2595500.0,1094374.3096638203
2595527.777777778,1094357.5909912633
2595555.5555555555,1094340.5254670584
2595583.3333333335,1094323.1476228733
2595611.111111111,1094305.4919903765
2595638.888888889,1094287.587191482
2595666.6666666665,1094269.4256992883
2595694.4444444445,1094250.9863234817
2595722.222222222,1094232.2478482558
2595750.0,1094213.189057803
2595777.777777778,1094193.7887363161
2595805.5555555555,1094174.025667988
2595833.3333333335,1094153.878637011
2595861.111111111,1094133.3264275782
2595888.888888889,1094112.347823882
2595916.6666666665,1094090.9216101156
2595944.4444444445,1094069.0265704708
2595972.222222222,1094046.6414891412
2596000.0,1094023.7451503188
2596027.777777778,1094000.316338197
2596055.5555555555,1093976.3338369683
2596083.3333333335,1093951.776430825
2596111.111111111,1093926.6229039603
2596138.888888889,1093900.8520405665
2596166.6666666665,1093874.4426248367
2596194.4444444445,1093847.3734409632
2596222.222222222,1093819.6232731391
2596250.0,1093791.1709055568
2596277.777777778,1093761.995122409
2596305.5555555555,1093732.074707889
2596333.3333333335,1093701.3884461885
2596361.111111111,1093669.9151215013
2596388.888888889,1093637.6335180192
2596416.6666666665,1093604.5224199356
2596444.4444444445,1093570.5606114422
2596472.222222222,1093535.7268767334
2596500.0,1093500.0
2596527.777777778,1093463.3707676795
2596555.5555555555,1093425.8779751866
2596583.3333333335,1093387.5724201761
2596611.111111111,1093348.504900307
2596638.888888889,1093308.7262132356
2596666.6666666665,1093268.2871566203
2596694.4444444445,1093227.2385281168
2596722.222222222,1093185.631125384
2596750.0,1093143.5157460778
2596777.777777778,1093100.943187856
2596805.5555555555,1093057.9642483767
2596833.3333333335,1093014.6297252956
2596861.111111111,1092970.9904162718
2596888.888888889,1092927.0971189607
2596916.6666666665,1092883.0006310213
2596944.4444444445,1092838.7517501097
2596972.222222222,1092794.4012738836
2597000.0,1092750.0
