dist,z_bed,z_surf_1958,z_surf_1979,z_surf_2003,z_surf_2008,z_surf_2019
0.0,1890.5140935898485,2286.4631033647747,2278.2569971693747,2250.453786076931,2237.3822415237955,2198.0600635446667
51.69206043079158,1896.0646624337674,2280.6734768952574,2272.552347661979,2245.639026202162,2232.7925853478473,2193.1465757056712
103.35716180038631,1908.439555823933,2278.5346662120155,2267.2652253541864,2242.9162942877697,2229.112867564563,2187.430111707664
154.97113513531178,1915.5696820897072,2270.501331954556,2263.3609910805008,2234.7639470680006,2221.5947787024334,2180.8157858344
206.5154120166126,1911.2389854596129,2265.216116875599,2258.5579027415133,2230.7520078573593,2215.7808991949855,2174.2154358436073
257.97987073213903,1889.7050220178,2261.9820247618504,2252.632879542101,2225.4422481678666,2212.6141403919696,2168.5950645843313
309.3657229715345,1852.857744538275,2257.1194205114807,2247.237648443941,2219.4414583473463,2205.889462889606,2163.180986330773
360.6884296188328,1832.32169295097,2252.08746204845,2242.0916950522037,2216.5042820687127,2202.2115231800067,2157.909333824531
411.98061167917723,1827.0629882491478,2246.7076493713785,2238.0018733403504,2211.627890744484,2197.951389564664,2153.2671848313526
463.29489385281965,1829.0072279953367,2242.013531876756,2233.961883230946,2207.3453127346543,2193.3729632245186,2149.5767012703027
514.7065844039857,1835.4537821228682,2239.5244118315068,2229.91742233926,2203.5598963499124,2189.885103881424,2145.428979597509
566.3078913436607,1832.9586623072228,2235.8679308174865,2225.8529305330494,2199.5358638739467,2184.342112369641,2140.7548947860396
618.1703900023715,1835.430888515427,2231.701109459943,2221.261300978651,2196.0683848343956,2180.2990397262274,2136.692879065284
670.3427222724558,1844.4128699261291,2228.042337235728,2217.371885581968,2191.8324883979767,2177.087601137563,2132.3912833677423
722.8558713316773,1855.5318525160778,2224.293391553019,2213.9348358585867,2189.167896404103,2173.865147878354,2128.6667600967794
775.7249365206936,1864.579476671176,2220.5603804575685,2210.5618138843424,2185.397575980315,2170.3248614205777,2124.6632845683253
828.9509228047833,1860.4020666632905,2215.820663154778,2207.226586316845,2181.184795805586,2167.1099807576693,2120.6250360871354
882.5224943301419,1859.8565898647505,2210.8534752143614,2204.0180839082664,2177.2228346755883,2163.2994966977676,2116.684582883433
936.4176600961174,1875.9500595473055,2206.4777963425595,2201.026662345692,2173.7432491805525,2158.706868708425,2112.1758975212206
990.6053747658907,1879.03766891827,2202.0726722411227,2197.559029201725,2170.4484851798034,2154.964227681481,2108.157225563803
1045.0470491307995,1840.0274789709151,2197.673486755458,2193.734628891894,2166.892528873423,2151.10025389419,2103.6169498782397
1099.6979731278634,1801.1749506963217,2192.9625804943403,2190.1012582442318,2163.452089662171,2147.6720087520816,2099.007765713823
1154.5086601743712,1792.9522376493828,2190.010534345876,2187.5174389675913,2160.056340462458,2144.4428385522933,2094.94690367611
1209.4261255106167,1786.457274917423,2187.23915053541,2185.386061743274,2156.5369700296583,2140.4699248126244,2090.6128553959798
1264.395113767374,1786.45239877334,2184.001819373298,2182.8437658421435,2153.398635088179,2137.614190366639,2086.8759882830072
1319.3592925049556,1800.5978852775347,2180.995760084652,2179.545458944761,2150.4311545199816,2134.5580564093016,2084.064417700314
1374.2624293239094,1840.1472728763652,2179.6764106653077,2176.4465099884433,2147.3346709263587,2130.532077139061,2081.4812738218025
1429.0495705091082,1889.5260181993058,2176.74754738943,2173.393367285682,2144.989334418486,2128.1728145401553,2078.0039626451944
1483.6682391376607,1933.7618468626847,2172.853510947577,2170.1515049420173,2141.4377503301225,2125.1903587305324,2075.348220928782
1538.069670142133,1946.6750330329726,2169.023552793082,2166.849324452653,2139.222497455599,2122.1317259215225,2072.7044487889198
1592.2100988724671,1932.987180019981,2163.725775701827,2163.0812177971497,2133.4189739645417,2117.4711722443135,2068.819264541611
1646.0521180217909,1898.725150259117,2158.573826093093,2157.0427884151686,2128.960059060965,2113.1637146648154,2065.9619153396507
1699.5661150519363,1871.7004809122868,2153.7691420395317,2151.0217747746206,2122.2501017777586,2107.40847278908,2059.8470721852873
1752.7317980348462,1842.7537409181368,2149.0253940020384,2145.341845153402,2117.4933468567147,2100.309081369743,2051.1125670508227
1805.5398115784478,1819.1456296991914,2142.711805885192,2140.656442422821,2113.281724993901,2095.0700345550135,2046.1201763959257
1857.993435626627,1798.4787768025403,2138.542900238245,2136.6487887741455,2106.0354247724267,2089.5971222859625,2040.2842585482754
1910.1103478579269,1783.56065777551,2130.5980728861764,2132.097031010086,2099.921284670649,2084.2445723363553,2034.5242633046737
1961.9244147886086,1785.7060209492156,2129.2046887592405,2127.159499373692,2095.0501367676634,2079.5415336829483,2025.1895754583777
2013.4874576297502,1796.2428667872127,2121.434303221893,2122.498707774711,2089.6500577997112,2074.076155185463,2019.581253697501
2064.8709173903276,1805.1861165870769,2115.3340157714224,2118.01881068609,2084.900455034717,2068.601392808704,2013.12724386745
2116.1673218117962,1805.9967264611475,2109.6043706103083,2112.833359193443,2079.053046856976,2063.558049486239,2007.4110526101122
2167.491438118026,1800.564450763118,2101.3825151967303,2106.9426189258393,2072.933594192813,2059.3505867306767,2001.1555492339298
2218.9809853460365,1792.2349930129521,2097.7681237825764,2101.8628833619005,2067.558160676644,2053.0172926200635,1994.8297265631036
2270.7967840031097,1774.9628302567316,2091.7234120333956,2097.3009518211093,2061.7475151577337,2046.1155685579179,1988.1782502078286
2323.122244012543,1746.4721393157063,2088.861655206394,2091.937342697289,2056.626001702644,2039.107005166404,1981.8029973193347
2376.162136472722,1715.3301014860353,2081.700853659185,2086.2135759524726,2050.9251074758267,2034.9916638192476,1975.6890783409053
2430.1406577528737,1708.5425594205701,2075.80845907469,2080.425937177439,2045.635873473525,2028.1211626394975,1969.7209467875714
2485.2988670187106,1711.2801416779075,2070.0,2074.920411672625,2040.0002790909016,2022.2759724686694,1964.9529487393324
2541.8916469255773,1706.707713756658,2063.3378915259627,2068.9347980804505,2033.4348489574584,2015.686908057653,1960.3685131609798
2600.18438741567,1697.6207498412516,2059.9429997968373,2062.6198740763402,2027.6885008299532,2010.689152355449,1955.1309705159902
2660.449613557182,1679.1926146708765,2052.893680054405,2056.453511734335,2022.1001712465672,2004.519449336408,1949.5352661514466
2722.963766828017,1664.967422026674,2049.5129650185163,2050.3136325041887,2016.8648344154885,1999.062088976515,1945.602019506888
2788.0043101619212,1651.8458627201417,2041.1510768791918,2044.8708760031614,2012.0841391589643,1993.9771163091352,1940.274970807596
2855.847271337839,1632.1893446167014,2038.8385249831733,2040.1300960634917,2006.3564860901074,1989.5256060556903,1933.6767958656078
2926.7652797009073,1608.7226536129203,2033.9937329877093,2036.9651179167047,2000.97350225221,1984.5995280411737,1926.3395468792824
3001.021470515038,1599.3871412172368,2030.1743464326119,2033.281094509447,1998.548931576091,1980.189319888575,1921.0459075511935
3078.615055318065,1609.0937816543437,2025.7547764217795,2030.5514761328113,1994.1824570241292,1976.6985666387845,1917.7244429891055
3159.1203425713315,1641.0137051760487,2022.5020363811568,2027.4617290986346,1990.0318525554314,1971.4813190696018,1913.4220684165377
3242.027076155006,1691.0793168805067,2018.1561385980533,2020.7580198899586,1985.5933168303013,1965.7220242963203,1906.1026611317645
3326.7873499731277,1726.6370741681048,2010.3494740023502,2010.7787062905572,1980.3413287538888,1958.1676007617757,1897.912014870579
3412.828044660512,1744.316050376573,1997.5599756244987,1999.5754791816235,1968.352954604086,1947.9970438412975,1886.3582896124456
3499.560324080475,1737.2835931780482,1985.4741844392613,1991.8742786950365,1952.9505767767566,1935.235154361514,1871.777924737582
3586.3873885787784,1716.8269507501855,1973.8555294437324,1981.0833486227962,1938.928118450092,1921.2348612728333,1860.5840875583199
3672.7113743589816,1690.6229315467979,1965.7669445335189,1969.527801409545,1929.7827620720914,1912.9833100040594,1853.1423787218564
3757.940140341724,1665.1047917157216,1959.2766321114318,1959.1898857735405,1922.2781201594112,1903.9836782356508,1846.2948123601113
3841.494664542544,1641.073862865706,1952.8864230840852,1951.232880777345,1916.6763703994498,1898.0083727934575,1840.3828589268815
3922.817877211085,1610.7802552757014,1948.440223895498,1945.7160383654787,1911.7939466617024,1891.7918277584506,1833.352257901318
4001.386009958442,1583.5207206650007,1941.5950606243982,1940.2519009063749,1906.1080501582096,1886.4944718923398,1824.7458008107142
4076.7239893592186,1569.7738115301177,1936.8973404459239,1935.9670980445185,1899.7005074577687,1879.7007522835172,1816.0527424140791
4148.482668606961,1573.1306450796178,1931.8664234354633,1931.7448610443137,1894.3839499914022,1874.9911031729912,1809.724448157403
4216.840387466458,1581.826575780144,1927.6969596409447,1927.3678592206156,1889.5672467911636,1871.4793424174836,1804.4305751073998
4282.207120734506,1580.8135711969867,1920.437875296876,1919.7039626645144,1882.8998570371405,1864.2983876411647,1801.149455542488
4344.979238495875,1574.187518072922,1915.0333442049673,1910.6279019237213,1875.4102984623355,1860.8146958861166,1794.880314758769
4405.532699988467,1571.9602194336273,1908.725187327084,1903.0952530437735,1869.8356385883906,1852.5540466850705,1785.8457942461805
4464.218119582499,1563.4080238500662,1900.9692876101115,1896.697499544299,1859.0116784145616,1843.3427980876836,1779.7109628808262
4521.356475322157,1561.8504632524227,1890.4688736210378,1887.914145890687,1851.7599969805526,1833.1552954860856,1771.771398567807
4577.235869718279,1557.0153404649782,1881.0947237004466,1879.6271794486804,1841.2281222169513,1823.412500466708,1761.4853141378876
4632.10964877574,1557.4564885769237,1870.1704414188032,1872.356048508414,1830.6511741032955,1813.2008067031315,1752.6256879499458
4686.196035785676,1562.068596691526,1861.5204074384383,1864.890807687931,1822.8691287426964,1805.276326770754,1741.4651999807588
4739.679277918866,1558.0887282131598,1855.1952687212352,1857.1195946300859,1814.7760348141198,1797.3008521767117,1733.043451665743
