x,y
900310.0,323870.0
900316.06823933,323889.28282828286
900322.1408002765,323908.56565656565
900328.2220044567,323927.8484848485
900334.3161734871,323947.1313131313
900340.4276289844,323966.41414141416
900346.5606925654,323985.69696969696
900352.7196858468,324004.9797979798
900358.9089304453,324024.2626262626
900365.1327479779,324043.54545454547
900371.3954600609,324062.82828282827
900377.7013883116,324082.1111111111
900384.0548543462,324101.3939393939
900390.4601797817,324120.6767676768
900396.9216862348,324139.9595959596
900403.4436953221,324159.24242424243
900410.0305286606,324178.5252525252
900416.6865078668,324197.8080808081
900423.4159545577,324217.0909090909
900430.2231903499,324236.37373737374
900437.11253686,324255.6565656566
900444.088315705,324274.9393939394
900451.1548485013,324294.22222222225
900458.3164568659,324313.50505050505
900465.5769895746,324332.7878787879
900472.9364039316,324352.0707070707
900480.3927446848,324371.35353535356
900487.9440433038,324390.63636363635
900495.5883312572,324409.9191919192
900503.3236400146,324429.202020202
900511.1480010446,324448.48484848486
900519.0594458168,324467.76767676766
900527.0560058,324487.0505050505
900535.1357124633,324506.3333333333
900543.2965972759,324525.61616161617
900551.5366917069,324544.89898989897
900559.8540272254,324564.1818181818
900568.2466353002,324583.4646464646
900576.7125474008,324602.7474747475
900585.2497949963,324622.0303030303
900593.8564095555,324641.31313131313
900602.5304225478,324660.595959596
900611.2698654421,324679.8787878788
900620.0727697077,324699.16161616164
900628.9371668132,324718.44444444444
900637.8610882283,324737.7272727273
900646.8425654218,324757.0101010101
900655.879629863,324776.29292929295
900664.9703130206,324795.57575757575
900674.1126463641,324814.8585858586
900683.3046613625,324834.1414141414
900692.5443894848,324853.42424242425
900701.8298622002,324872.70707070705
900711.1591109779,324891.9898989899
900720.5301672866,324911.2727272727
900729.9410625958,324930.55555555556
900739.3898283745,324949.83838383836
900748.8744960917,324969.1212121212
900758.3930972166,324988.404040404
900767.9436632182,325007.68686868687
900777.5242255658,325026.9696969697
900787.1328157282,325046.2525252525
900796.7674913752,325065.5353535354
900806.42692864,325084.8181818182
900816.1104310583,325104.10101010103
900825.8173301531,325123.38383838383
900835.5469574484,325142.6666666667
900845.2986444674,325161.9494949495
900855.0717227338,325181.23232323234
900864.8655237709,325200.51515151514
900874.6793791027,325219.797979798
900884.5126202521,325239.0808080808
900894.364578743,325258.36363636365
900904.2345860989,325277.64646464644
900914.1219738432,325296.9292929293
900924.0260734995,325316.2121212121
900933.9462165914,325335.49494949495
900943.8817346423,325354.77777777775
900953.8319591756,325374.0606060606
900963.796221715,325393.3434343434
900973.7738537841,325412.62626262626
900983.7641869064,325431.9090909091
900993.7665526051,325451.1919191919
901003.780282404,325470.4747474748
901013.8047078266,325489.75757575757
901023.8391603964,325509.0404040404
901033.8829716368,325528.3232323232
901043.9354730716,325547.6060606061
901053.9959962241,325566.8888888889
901064.0638726179,325586.17171717173
901074.1384337763,325605.45454545453
901084.2190112233,325624.7373737374
901094.304936482,325644.0202020202
901104.3955410761,325663.30303030304
901114.490156529,325682.58585858584
901124.5881143643,325701.8686868687
901134.6887461055,325721.1515151515
901144.7913832762,325740.43434343435
901154.8953573998,325759.71717171714
901165.0,325779.0
