xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
921213.08,301555.82,5.2742,-7.4728,-1.0803,10.0,255.1324,-18.9192,-9.5115,34.4317,0.6074,0.5234,-0.5977,-37.047,0.1452,5.3397,-7.4756,-1.3571,10.0,0.0617,0.1452,0.6074,0.5234,-0.5977,-0.1823,0.0902,0.0414,9.146579988170442,9.186783520362281
921243.08,301525.82,5.8886,-6.0875,-0.5662,10.0,284.9689,-18.7853,-11.3915,37.4924,0.5383,0.5885,-0.6033,-39.4337,0.1384,6.1821,-6.1821,-1.6358,10.0,0.0727,0.1384,0.5383,0.5885,-0.6033,-0.4332,0.1608,0.2135,8.469549351057587,8.74280966394671
921273.08,301495.82,5.4021,-7.7784,-2.4719,10.0,151.025,-7.54,-6.6239,21.3965,0.5888,0.5959,-0.5462,-20.0721,0.1329,5.5461,-7.7646,-3.287,10.0,-0.0233,0.1329,0.5888,0.5959,-0.5462,-0.107,0.4388,0.204,9.470279350156469,9.541920056781025
921303.08,301435.82,4.2014,-8.783,-3.1694,10.0,202.4924,-7.2557,-3.6671,20.4818,0.5633,0.5128,-0.6479,-19.2381,0.095,4.3591,-8.7181,-4.0752,10.0,0.0474,0.095,0.5633,0.5128,-0.6479,-0.4116,0.2258,0.2204,9.73616202412429,9.747154478102827
921333.08,301375.82,2.2512,-11.3424,-6.0592,10.0,229.6379,-1.2981,-1.7337,21.4651,0.4575,0.5045,-0.7322,-17.1854,0.0748,2.308,-11.5399,-6.2961,10.0,0.0212,0.0748,0.4575,0.5045,-0.7322,-0.0,0.0,0.0,11.563647313888469,11.76843897932092
921333.08,301345.82,0.0085,-11.3696,-7.6341,10.0,480.6451,-7.501,0.5309,34.6545,0.5776,0.4468,-0.6831,-27.7693,0.0578,0.0,-11.6891,-7.632,10.0,-0.024,0.0578,0.5776,0.4468,-0.6831,0.025,0.16,0.0262,11.369603177332092,11.6891
921333.08,301315.82,0.0183,-12.1646,-8.9611,10.0,448.9273,-11.8704,2.407,32.9721,0.7442,0.3845,-0.5463,-25.9198,0.0577,0.0,-11.9365,-9.1766,10.0,-0.031,0.0577,0.7442,0.3845,-0.5463,0.1175,0.2197,0.0621,12.164613764933106,11.9365
921333.08,301285.82,3.2954,-16.0946,-12.0886,10.0,439.2456,-12.1314,7.1542,31.4295,0.6604,0.5329,-0.5291,-20.8276,0.0474,3.0726,-15.363,-12.7025,10.0,-0.0337,0.0474,0.6604,0.5329,-0.5291,0.0506,0.0997,0.0125,16.428506028242495,15.66724735746519
921363.08,301225.82,9.5632,-22.6481,-19.1212,34.888,308.1846,-61.5043,-66.9187,94.0676,0.6259,0.646,-0.4369,-122.8272,0.3986,12.7017,-25.4034,-25.1682,34.888,-0.0658,0.3985,0.6259,0.646,-0.4369,0.0,-0.0,0.0,24.58436958414838,28.40186462980908
921393.08,301165.82,9.9399,-30.105,-11.7958,36.6864,312.6227,-142.7024,-81.8873,177.6541,0.7109,0.4891,-0.5053,-231.2778,0.7398,14.489,-28.9781,-26.0366,36.6864,-0.1149,0.7398,0.7109,0.4891,-0.5053,-0.0656,0.379,0.148,31.70351143028166,32.39847836874442
