xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
936051.32,341734.11,-1.7464,3.6111,-0.4853,16.9662,274.5893,22.7444,9.7078,45.9823,-0.6491,-0.4084,-0.6418,-48.2384,0.1757,-1.8711,3.6711,-0.7511,16.9662,-0.0953,0.1757,-0.6491,-0.4084,-0.6418,-0.2076,-0.2015,0.0837,4.011228760616876,4.12043570754356
936084.21,341668.34,-2.2449,3.9565,-0.4212,17.985,257.2267,25.3934,11.225,45.5281,-0.6524,-0.4431,-0.6149,-49.5341,0.1926,-2.3712,4.0125,-0.7078,17.985,-0.0974,0.1926,-0.6524,-0.4431,-0.6149,-0.2382,-0.2753,0.1325,4.5490073928275825,4.660766641873416
936124.4,341609.88,-2.7793,4.1986,-0.117,23.2555,316.9194,36.2894,14.5917,76.9207,-0.605,-0.4283,-0.6712,-79.8348,0.2519,-2.9446,4.2665,-0.5133,23.2555,-0.1179,0.2519,-0.605,-0.4283,-0.6712,-0.2367,-0.2508,0.1189,5.035151482329008,5.183984125168594
936157.29,341562.37,-2.9923,4.8034,-0.892,29.4448,382.6784,40.1273,28.8962,105.475,-0.5523,-0.4831,-0.6794,-107.7823,0.2817,-3.0805,4.7136,-1.3263,29.4448,-0.1072,0.2817,-0.5523,-0.4831,-0.6794,-0.1503,-0.3461,0.1423,5.659197014594915,5.630941769366825
936234.02,341438.14,-3.1686,5.0021,-0.4919,29.6604,685.7974,78.7694,40.7703,204.8776,-0.5313,-0.4164,-0.7378,-209.9829,0.3062,-3.4564,5.1799,-1.2847,29.6604,-0.1251,0.3062,-0.5313,-0.4164,-0.7378,-0.1954,-0.2425,0.097,5.921235544208658,6.227203623617907
936318.06,341321.21,-3.894,4.6225,-0.3433,26.7278,366.6296,44.7557,28.1543,105.2621,-0.5298,-0.5166,-0.6726,-109.0568,0.2975,-4.181,4.6192,-1.3305,26.7278,-0.1558,0.2975,-0.5298,-0.5166,-0.6726,-0.1869,-0.2167,0.0819,6.044066698010537,6.230390809572061
936800.17,341564.35,-4.1881,6.5733,-1.6733,39.7606,316.5226,-8.4399,4.4078,109.5463,0.4865,0.0858,-0.8695,-98.9735,0.3127,-4.5704,7.1865,-1.4767,39.7606,0.0523,0.3127,0.4865,0.0858,-0.8695,0.0226,-0.1699,0.0294,7.794129489558151,8.516709365124537
936691.88,341691.5,-3.694,6.3281,-1.7151,44.7721,389.8254,-14.1957,8.9011,141.8446,0.5126,0.0689,-0.8559,-128.0622,0.3285,-4.1759,7.0763,-1.3262,44.7721,0.0557,0.3285,0.5126,0.0689,-0.8559,0.0161,-0.1751,0.0309,7.327379177441276,8.216578515416256
936626.11,341866.89,-2.5538,7.1121,-1.2239,48.7582,308.3288,-19.5468,0.0886,130.2304,0.5125,0.0341,-0.858,-121.751,0.3949,-2.669,7.5485,-1.3826,48.7582,0.0352,0.3949,0.5125,0.0341,-0.858,0.0161,-0.1353,0.0186,7.556709657648625,8.006460719319117
936556.69,342075.17,-1.6392,7.4282,-1.7138,56.9909,319.6978,-25.7077,13.0624,149.9147,0.5032,-0.0844,-0.86,-142.9694,0.4472,-1.7896,7.9065,-1.7352,56.9909,-0.0706,0.4472,0.5032,-0.0844,-0.86,0.0869,-0.1585,0.0327,7.6069134266139775,8.10650420403271
