xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
957349.51,108700.43,-2.9728,10.0436,-2.6668,10.0,415.2759,-40.4649,-20.0154,51.0798,0.8705,0.1331,-0.4739,-62.0939,0.1495,-2.7107,9.4654,-3.1277,10.0,-0.0755,0.1495,0.8705,0.1331,-0.4739,0.5956,-0.0031,0.3547,10.474322927998735,9.845897198833635
957406.14,108593.82,-3.0523,7.2001,-3.7316,10.0,337.9989,-32.8968,-5.4617,43.5623,0.8675,0.108,-0.4856,-50.2813,0.1488,-2.8044,7.0955,-4.7665,10.0,-0.0431,0.1488,0.8675,0.108,-0.4856,0.8648,-0.2049,0.7898,7.820356468857414,7.629598915408333
957640.7,107795.0,-13.2123,0.0823,-9.5307,79.1596,143.2422,-70.5819,28.9553,111.9491,0.7238,-0.3888,-0.57,-126.159,0.8807,-1.2257,-1.6159,-46.9945,79.1596,-0.595,0.8807,0.7238,-0.3888,-0.57,0.1463,-0.1295,0.0382,13.212556322680332,2.028169938639265
956973.6,107795.0,-6.6715,4.3568,-5.0626,34.8159,461.6825,-18.8318,177.4187,219.6999,0.0801,-0.8123,-0.5777,-272.5451,0.5903,-9.8744,0.0,-19.4855,34.8159,-0.2367,0.5903,0.0801,-0.8123,-0.5777,0.0287,-0.6006,0.3615,7.968100055220191,9.8744
956000.0,107795.0,24.1797,10.1895,-25.1262,112.4733,136.8649,106.0125,38.9906,143.2102,-0.7354,-0.3114,-0.6018,-176.2926,1.2881,12.8944,-18.5672,-185.7328,112.4733,-0.4312,1.2881,-0.7354,-0.3114,-0.6018,-0.0527,-0.216,0.0494,26.238974872124864,22.605452156504192
956360.59,108597.15,4.493,6.2541,-1.4573,10.0,366.239,25.2156,-21.0553,54.2778,-0.7321,0.3726,-0.5702,-57.2573,0.1563,4.0148,6.197,-4.2478,10.0,-0.0623,0.1563,-0.7321,0.3726,-0.5702,-0.5712,0.1261,0.3421,7.70070229329767,7.383862677487983
956446.1,108688.21,15.3013,17.7853,-23.2628,10.0,606.7163,54.3362,-67.6368,111.1787,-0.8809,0.3787,-0.2839,-105.0442,0.1731,14.4861,17.0832,-22.9503,10.0,-0.0796,0.1731,-0.8809,0.3787,-0.2839,-0.7414,-0.146,0.571,23.46160006862277,22.398277064319032
956521.62,108787.05,27.4859,63.6695,-33.1446,42.1358,1521.1043,42.1716,-351.9759,201.0925,-0.9077,0.3905,-0.1535,-206.5934,0.1358,34.4251,73.5789,-30.025,42.1358,-0.0224,0.1358,-0.9077,0.3905,-0.1535,-0.5674,-0.5996,0.6815,69.34897208365817,81.23387246229248
957360.836,108679.108,-4.5206,8.567,-4.2425,10.0,353.1426,-15.5094,-13.5961,29.2446,0.8438,0.1995,-0.4982,-30.3692,0.086,-4.2966,8.0886,-4.2342,10.0,-0.0366,0.086,0.8438,0.1995,-0.4982,0.6597,-0.0169,0.4355,9.68655322392852,9.158942161625435
957372.162,108657.786,-4.2907,8.0136,-4.6602,10.0,302.9919,-16.3599,-8.1478,29.1517,0.8468,0.1562,-0.5084,-29.9472,0.0988,-4.1263,7.768,-4.8295,10.0,-0.0345,0.0988,0.8468,0.1562,-0.5084,0.7624,-0.0696,0.586,9.089988528595622,8.7959181266085
