xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
2597202.6813,1093514.6773,-1.6376,1.2069,-1.4343,21.438,362.0864,-10.0538,1.6181,43.462,0.7169,0.1895,-0.671,-36.0628,0.0996,-1.6922,1.2898,-2.1051,21.438,-0.038,0.0996,0.7169,0.1895,-0.671,0.429,0.1818,0.217,2.034291368019832,2.127704133567447
2597530.5445,1093298.7071,-1.224,1.8932,-1.2776,28.5639,235.66,-2.652,1.9031,27.7498,0.7322,0.1468,-0.665,-20.1167,0.0854,-0.9944,1.5567,-2.3331,28.5639,-0.0003,0.0854,0.7323,0.1468,-0.665,1.0768,-0.0594,1.163,2.2544139460179,1.8471995696188324
2597676.1675,1092476.1426,1.2642,3.1758,-1.388,13.3773,313.0166,-19.0125,22.5808,60.1462,0.6227,-0.5959,-0.5071,-55.7946,0.1782,2.3285,4.3454,-7.0358,13.3773,-0.063,0.1783,0.6227,-0.596,-0.5071,0.6379,-0.1781,0.4387,3.4181730909946615,4.929950649854418
2597010.0093,1092417.9473,-3.1614,-1.0634,-2.9989,23.3411,586.8177,-76.1297,30.8257,121.2135,0.6771,-0.4909,-0.5482,-133.1288,0.2269,-2.9039,-1.3428,-6.3278,23.3411,-0.0428,0.2269,0.6771,-0.4909,-0.5482,0.7104,-0.7238,1.0285,3.3354564185430453,3.199335407549512
2597067.7809,1093627.541,-1.3792,1.1379,0.1909,11.1338,589.6183,-11.3742,-70.1654,89.3594,0.4559,0.6226,-0.636,-105.7073,0.1793,-1.4263,1.1933,0.1608,11.1338,-0.1204,0.1793,0.4558,0.6226,-0.6361,0.0691,0.047,0.007,1.7880181906233503,1.8596495852713757
2597090.2643,1093608.7304,-1.5874,1.3042,-0.0619,15.3599,495.3544,-32.1987,-71.3582,83.2616,0.5602,0.6623,-0.4976,-106.7251,0.2155,-1.5146,1.2672,-0.0422,15.3599,-0.1107,0.2155,0.5602,0.6623,-0.4976,0.1261,0.0039,0.0159,2.054452822529639,1.974793406916278
2597112.7477,1093589.9197,-1.6288,1.3487,-0.483,15.1652,491.4986,-34.7009,-54.1865,69.8496,0.6447,0.599,-0.4749,-88.0008,0.179,-1.6151,1.3513,-0.5013,15.1652,-0.0842,0.179,0.6447,0.5991,-0.4748,0.2127,-0.0211,0.0457,2.1147059204532437,2.105839428826424
2597135.2311,1093571.1091,-1.759,1.432,-0.4105,13.0299,467.0815,-47.8433,-68.821,90.2311,0.626,0.6178,-0.4759,-115.4055,0.2471,-1.78,1.4892,-0.485,13.0299,-0.1206,0.2471,0.626,0.6178,-0.4759,0.3149,0.0189,0.0995,2.2681942156702544,2.320800861771643
2597157.7145,1093552.2985,-1.7491,1.4,-0.3948,21.7124,378.2946,-35.062,-46.4032,95.2042,0.5648,0.5304,-0.6322,-104.6018,0.2765,-1.7293,1.4468,-0.7994,21.7124,-0.091,0.2765,0.5648,0.5304,-0.6322,0.4305,0.0612,0.1891,2.240390771718184,2.2547081252348384
2597180.1979,1093533.4879,-1.7052,1.4793,-0.723,33.6776,301.9279,-11.7576,0.121,75.7803,0.5102,0.2737,-0.8153,-67.7528,0.2244,-1.5784,1.3206,-1.6049,33.6776,-0.0258,0.2244,0.5102,0.2737,-0.8153,0.5135,0.1461,0.285,2.2574400390708056,2.0579919630552497
2597226.1001,1093499.2509,-1.718,1.0723,-0.6995,10.0,696.2862,-18.8141,-40.8686,85.8807,0.6027,0.5119,-0.6121,-84.8302,0.1218,-1.8104,1.1926,-1.0512,10.0,-0.0599,0.1218,0.6027,0.5119,-0.6121,0.3495,0.21,0.1663,2.0251793229242687,2.167912110764641
2597249.5189,1093483.8244,-1.736,1.0681,-0.3864,10.0,384.8047,-8.5882,-30.6602,51.0537,0.5352,0.6366,-0.5553,-52.4628,0.1363,-1.8138,1.1948,-0.7582,10.0,-0.05,0.1363,0.5352,0.6366,-0.5553,0.4335,0.0837,0.195,2.038267305826201,2.171961666328391
2597272.9377,1093468.398,-2.1271,1.3173,-0.6484,10.0,414.8917,-10.0559,-28.1734,58.1297,0.557,0.5917,-0.5828,-56.1478,0.1353,-2.1843,1.4389,-1.0307,10.0,-0.0367,0.1353,0.557,0.5917,-0.5828,0.5027,0.0351,0.2539,2.501965966994755,2.6156451785362633
2597296.3565,1093452.9715,-2.4155,1.494,-0.8179,14.265,492.5243,-13.8584,-30.2833,78.3113,0.5615,0.5493,-0.6189,-72.8797,0.148,-2.5307,1.6671,-1.429,14.265,-0.0468,0.148,0.5615,0.5493,-0.6189,0.441,0.0508,0.1971,2.8401894743132896,3.030456219779458
2597319.7753,1093437.5451,-2.6422,1.6369,-0.9405,14.1627,360.8762,-12.2518,-22.1786,62.8624,0.568,0.5208,-0.6373,-58.5714,0.1623,-2.7775,1.8296,-1.5742,14.1627,-0.0632,0.1623,0.568,0.5208,-0.6373,0.3552,0.0565,0.1294,3.108160621653907,3.3259498507945064
2597343.1941,1093422.1187,-3.0672,1.9245,-1.3974,13.9585,348.2552,-10.9973,-17.4165,54.8353,0.6018,0.4876,-0.6325,-49.7952,0.143,-3.1582,2.0804,-1.9468,13.9585,-0.0434,0.143,0.6018,0.4876,-0.6325,0.45,0.0152,0.2027,3.62096894352879,3.7818370403813013
2597366.6129,1093406.6922,-3.2396,2.0718,-1.7462,13.5192,375.6465,-10.8305,-15.4113,54.6966,0.6354,0.4514,-0.6265,-48.1048,0.1281,-3.3196,2.1867,-2.2745,13.5192,-0.0336,0.1281,0.6354,0.4514,-0.6265,0.5126,-0.0214,0.2632,3.8454340977320105,3.9750976151536204
2597390.0317,1093391.2658,-3.3983,2.1916,-2.0957,14.8309,393.3007,-10.8635,-13.2883,54.707,0.6588,0.4182,-0.6254,-46.9267,0.1193,-3.4423,2.2675,-2.4984,14.8309,-0.0269,0.1193,0.6588,0.4182,-0.6254,0.6058,-0.022,0.3675,4.04370541088245,4.122012316818085
2597413.4505,1093375.8393,-3.3723,2.1862,-2.24,14.5584,398.3137,-10.9333,-11.5475,54.2245,0.6749,0.3925,-0.6249,-45.7941,0.115,-3.3559,2.2106,-2.6532,14.5584,-0.0181,0.115,0.6749,0.3925,-0.6249,0.5613,-0.1554,0.3392,4.018939876385313,4.018559091266421
2597436.8693,1093360.4129,-3.1382,2.0437,-2.2454,10.0,414.9326,-5.7946,-9.2939,47.2156,0.6883,0.366,-0.6263,-36.9624,0.0891,-3.1174,2.0535,-2.5698,10.0,-0.0079,0.0891,0.6883,0.366,-0.6263,0.3119,-0.2296,0.15,3.7449978544720155,3.7329673197069377
2597460.2881,1093344.9864,-2.6849,1.7467,-1.9892,10.0,447.6153,-2.6994,-9.2245,43.6539,0.6988,0.358,-0.6193,-32.2243,0.072,-2.5772,1.6976,-2.3152,10.0,-0.0078,0.072,0.6988,0.358,-0.6193,0.3385,-0.2338,0.1692,3.203068669260776,3.086066363511971
