xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
900548.6799,325585.1604,-0.0278,0.2073,-0.044,16.5606,721.6792,136.2336,26.3497,133.6835,-0.8105,-0.2585,-0.5256,-187.4951,0.2598,-0.0521,0.1637,-0.1552,16.5606,-0.1536,0.2598,-0.8105,-0.2585,-0.5256,-0.1939,0.0551,0.0406,0.2091557553594928,0.1717908612237566
900501.1556,325604.1701,0.636,0.1906,-0.3308,10.0,390.6728,-2.9483,46.7009,58.8223,-0.0057,-0.8654,-0.5011,-69.8715,0.1788,0.6603,0.1887,-0.3999,10.0,0.0569,0.1788,-0.0057,-0.8654,-0.5011,-0.8783,-0.0113,0.7716,0.6639460520253133,0.6867341406978396
900420.3641,325499.6165,0.3702,0.2547,-0.2198,10.0,329.9473,-1.9723,2.0568,27.073,0.0443,-0.6846,-0.7276,-21.1929,0.0642,0.389,0.2635,-0.2634,10.0,-0.0046,0.0642,0.0443,-0.6846,-0.7276,-0.3,-0.1946,0.1279,0.44935523809120104,0.46984385704189
900254.0289,325447.3397,0.0744,-0.0483,-0.0164,10.0,142.7108,2.3217,2.8778,14.8207,-0.573,-0.6182,-0.5381,-11.0837,0.0777,0.0896,-0.0685,-0.137,10.0,0.0445,0.0777,-0.573,-0.6182,-0.5381,0.0,0.0,0.0,0.0887031566518351,0.11278479507451349
900258.7813,325623.1799,0.1952,0.1402,-0.1201,10.0,302.0365,7.5233,-5.8992,24.1601,-0.6951,0.4335,-0.5735,-21.642,0.0717,0.1772,0.1382,-0.1937,10.0,0.0557,0.0717,-0.6951,0.4335,-0.5735,0.0092,-0.0118,0.0002,0.24033118815501248,0.22472000355998573
900406.1068,325594.6652,0.4874,0.1136,-0.2666,10.0,448.2477,3.0033,-0.3956,42.2605,-0.5541,0.2162,-0.8039,-35.7223,0.0797,0.5789,0.1261,-0.2662,10.0,-0.0001,0.0797,-0.5541,0.2162,-0.8039,-0.4775,-0.2092,0.2718,0.5004635051629639,0.5924748264694458
900472.6409,325670.7042,0.6211,0.4556,-0.3054,14.3499,619.5833,24.2418,-34.0724,73.0318,-0.6419,0.4846,-0.5942,-75.4693,0.1218,0.6203,0.479,-0.4246,14.3499,-0.0113,0.1218,-0.6419,0.4846,-0.5942,-0.7067,-0.1325,0.517,0.7702834348471995,0.7837174809840597
900586.6994,325727.7335,0.3709,0.6184,-0.0055,14.5027,687.2659,116.5099,-102.6865,122.437,-0.7737,0.4369,-0.4588,-191.1841,0.2782,0.3419,0.5984,-0.0653,14.5027,-0.064,0.2782,-0.7737,0.4369,-0.4588,-0.0484,-0.0458,0.0044,0.7211001109416084,0.6891866002760065
900586.6994,325784.7627,0.3045,0.298,-0.2035,13.1084,273.0754,15.325,-11.0575,28.9592,-0.7792,0.375,-0.5022,-30.6306,0.1122,0.3445,0.3463,-0.2112,13.1084,-0.0238,0.1122,-0.7792,0.375,-0.5021,-0.0533,-0.0579,0.0062,0.42605662769167196,0.48847102268200104
900667.4908,325803.7724,0.9005,0.7526,0.0621,17.802,775.4621,43.4865,-122.2237,109.127,-0.5097,0.6501,-0.5635,-163.1183,0.2103,1.0692,0.791,0.282,17.802,0.0142,0.2104,-0.5097,0.6501,-0.5635,-0.1382,-0.101,0.0293,1.1735872400465166,1.3299885864171916
