date,altitude
1971,2887.96
1972,2887.82
1973,2890.08
1974,2889.37
1975,2889.52
1976,2891.21
1977,2889.3
1979,2890.36
1980,2888.53
1980,2889.94
1981,2893.4
1982,2894.11
1983,2894.75
1984,2896.16
1985,2894.53
1986,2893.19
1987,2893.33
1988,2891.78
1989,2890.29
1990,2888.95
1991,2887.96
1991,2886.83
1993,2884.78
1993,2882.23
1994,2882.94
1996,2881.39
1997,2881.74
1998,2882.38
1999,2881.1
2000,2878.91
2001,2877.57
2002,2874.88
2003,2876.86
2003,2876.3
2004,2874.32
2005,2873.33
2006,2871.28
2007,2869.02
2008,2866.97
2009,2864.63
2010,2864.92
2011,2863.08
2012,2863.5
2013,2860.39
2014,2859.9
2015,2859.19
2016,2857.92
2017,2857.0
2017,2853.82
2018,2851.7
2019,2850.0
2020,2848.23
2021,2846.39
