date,velocity
1968,44.49
1969,47.65
1970,48.84
1971,45.55
1972,45.38
1973,49.67
1975,47.06
1976,48.13
1977,
1978,
1979,58.03
1980,65.41
1981,67.24
1982,66.89
1983,61.94
1984,
1985,
1986,59.17
1987,55.13
1988,51.94
1989,50.38
1990,46.9
1991,41.16
1992,38.18
1994,36.83
1995,35.93
1996,38.38
1997,36.36
1998,33.66
1999,30.8
2000,29.99
2001,30.59
2002,29.51
2003,29.68
2004,25.14
2005,27.75
2006,20.71
2007,19.49
2008,18.18
2009,17.32
2010,15.72
2011,14.85
2012,13.55
2013,12.64
2014,12.32
2014,12.52
2015,14.9
2016,11.84
2017,11.25
2018,10.37
2019,10.14
2020,9.98
2020,9.6
2021,8.98
2021,8.59
2022,7.81
