date,altitude
1949,2398.4
1959,2398.3
1969,2405.1
1970,2405.2
1971,2403.2
1972,2403.3
1975,2401.5
1976,2398.9
1977,2400.3
1978,2401.5
1979,2402.2
1980,2403.6
1981,2403.2
1982,2405.2
1983,2405.3
1984,2405.4
1985,2405.8
1987,2404.7
1988,2403.7
1989,2402.8
1990,2400.9
1991,2399.9
1992,2398.5
1993,2399.0
1994,2397.2
1995,2397.5
1996,2397.0
1997,2397.3
1998,2395.0
1999,2394.8
2000,2393.7
2001,2393.5
2002,2393.9
2003,2391.1
2004,2389.5
2005,2387.6
2006,2385.2
2007,2384.1
2008,2382.7
2009,2379.4
2010,2378.6
2011,2376.4
2012,2374.1
2013,2374.1
2014,2374.0
2015,2369.8
2016,2369.6
2017,2367.1
2018,2366.3
2019,2364.2
2020,2361.9
2021,2362.7
2022,2358.4
