date,altitude
1967,2512.23
1968,2512.97
1969,2513.72
1970,2514.84
1971,2513.34
1972,2514.09
1973,2517.26
1974,2514.84
1975,2515.4
1976,2512.79
1977,2513.9
1978,2514.09
1979,2515.77
1980,2520.06
1981,2519.68
1982,2519.12
1983,2518.75
1984,2519.31
1985,2521.17
1986,2520.06
1987,2520.24
1988,2518.75
1989,2519.87
1990,2520.24
1991,2516.89
1993,2507.57
1996,2507.19
1997,2508.68
1998,2503.09
1999,2500.67
2000,2498.99
2001,2496.75
2002,2493.96
2003,2490.04
2004,2486.69
2005,2484.08
2006,2479.42
2007,2475.31
2008,2470.47
2009,2466.18
2010,2461.52
2011,2455.74
2012,2449.96
2013,2445.86
2014,2442.5
2015,2432.25
2016,2426.1
2017,2415.1
2018,2408.58
2019,2400.0
2020,2393.1
2021,2387.88
