date,velocity
1967.0,47.11
1968.0,45.34
1969.0,41.24
1970.0,48.22
1971.0,45.89
1972.0,43.68
1973.0,42.01
1974.0,43.34
1975.0,42.12
1976.0,40.46
1977.0,37.91
1978.0,65.96
1979.0,69.07
1980.0,54.99
1981.0,47.22
1982.0,51.66
1983.0,47.67
1984.0,50.77
1985.0,42.79
1986.0,45.78
1987.0,42.68
1988.0,45.12
1989.0,41.02
1990.0,35.25
1992.0,39.02
1994.0,33.92
1996.0,32.81
1997.0,33.14
1998.0,31.37
1999.0,35.91
2000.0,31.92
2001.0,30.04
2002.0,31.92
2003.0,27.15
2004.0,23.38
2005.0,24.6
2006.0,22.39
2007.0,21.61
2008.0,20.17
2009.0,18.95
2010.0,18.4
2011.0,17.51
2012.0,17.4
2013.0,17.06
2014.0,17.84
2015.0,15.62
2016.0,15.62
2017.0,15.07
2018.0,12.74
2019.0,12.96
2020.0,12.85
