date,altitude
1903,2410.4341069199945
1920,2414.112509442328
1921,2410.828221475959
1922,2411.616450587888
1923,2410.4341069199945
1924,2409.1203917334474
1925,2410.171363882685
1926,2409.1203917334474
1927,2409.9086208453755
1928,2407.9380480655545
1929,2407.018447434971
1931,2401.894958207436
1932,2400.9753575768523
1934,2397.034212017209
1937,2398.085184166448
1944,2387.5754626740672
1946,2380.0872861107464
1948,2369.97167917433
1949,2363.008988685628
1950,2360.775672868497
1952,2352.105152637283
1953,2345.93069126051
1954,2341.726802663557
1955,2340.0189729210456
1957,2331.217081171177
1958,2329.246508391356
1959,2328.1955362421177
1960,2326.487706499606
1961,2324.779876757094
1962,2320.838731197452
1964,2318.86815841763
1965,2317.5544432310826
1966,2319.787759048213
1974,2335.026855212165
1984,2339.61
1985,2340.35
1986,2335.51
1988,2331.0
1990,2317.85
1991,2311.23
1992,2304.49
1993,2295.82
1994,2288.13
