date,altitude
1903,2481.712369951088
1920,2471.058765366848
1921,2468.1310572368275
1922,2470.2455131085085
1923,2468.049732010993
1924,2468.049732010993
1925,2470.733464463512
1926,2468.5376833659966
1927,2466.9925040751527
1927,2470.733464463512
1928,2465.203349106807
1931,2461.869014847617
1932,2456.664200394248
1934,2457.96540400759
1937,2459.022631943431
1944,2450.5648084567056
1946,2447.474449875018
1948,2434.9503650965976
1949,2431.778681289076
1950,2430.558802901567
1952,2426.492541609872
1953,2424.6220614156928
1954,2426.65519206154
1955,2426.004590254869
1957,2425.7606145773675
1959,2427.549769545713
1959,2424.5407361898588
1960,2431.616030837408
1961,2429.7455506432284
1962,2429.6642254173944
1964,2429.6642254173944
1965,2429.826875869062
1967,2423.890134383188
1974,2429.826875869062
1983,2447.66
1984,2445.28
1985,2446.96
1986,2443.8
1988,2440.83
1990,2431.1
1991,2427.12
1992,2423.68
1993,2421.28
1994,2418.49
