date,altitude
1907,2733.8
1908,2731.988
1909,2730.609
1911,2730.583
1912,2737.029
1913,2733.482
1916,2736.653
1917,2738.2
1918,2737.241
1919,2739.805
1921,2738.712
1922,2739.274
1923,2738.718
1924,2738.698
1925,2739.257
1926,2740.885
1927,2738.406
1928,2739.985
1929,2739.237
1930,2737.437
1931,2738.887
1932,2739.464
1934,2735.104
1935,2734.271
1937,2733.116
1942,2729.906
1943,2727.863
1945,2727.126
1946,2725.78
1947,2723.188
1949,2719.604
1950,2717.285
1955,2712.59
1958,2712.117
1965,2712.277
1983,2724.4
1984,2724.1
1985,2723.6
1986,2723.6
1988,2720.5
1989,2719.2
1990,2718.5
1991,2716.4
1992,2715.8
1993,2711.6
1994,2711.7
1995,2710.4
1996,2708.6
1997,2707.6
1998,2705.2
1999,2704.2
2000,2702.9
2001,2702.0
2002,2699.8
2003,2696.9
2004,2695.4
2005,2692.8
2006,2690.2
2007,2687.9
2008,2685.5
2009,2682.7
2010,2681.0
2011,2678.0
2012,2675.9
2013,2673.5
2014,2671.5
2015,2668.1
2016,2665.8
2017,2663.0
2018,2660.5
2019,2657.8
2020,2655.8
2021,2653.1
