date,velocity
1908,8.9
1909,6.5
1910,5.5
1911,7.8
1913,23.6
1917,19.1
1918,23.3
1920,26.9
1922,36.9
1926,32.2
1928,31.1
1929,30.3
1936,8.1
1938,7.8
1940,9.6
1942,10.8
1944,9.9
1945,9.8
1948,8.0
1949,7.1
1951,5.7
1953,5.6
1984,12.8
1985,11.0
1986,10.8
1988,8.4
1989,7.4
1990,6.7
1991,6.1
1992,5.4
1993,5.0
1994,5.5
1995,5.5
1996,5.5
1997,5.0
1998,5.2
1999,4.9
2000,4.5
2001,5.3
2002,5.6
2003,4.9
2004,4.4
2005,4.0
2006,4.1
2007,3.5
2008,2.7
2009,2.5
2010,
2011,2.5
2012,2.2
2013,2.0
2014,1.4
2015,1.0
2016,
2017,0.8
2018,0.4
2019,0.3
2020,
2021,0.4
