date,altitude
1966.0,3085.81
1967.0,3085.41
1968.0,3086.33
1969.0,3086.33
1970.0,3088.05
1971.0,3086.33
1972.0,3085.41
1973.0,3084.89
1974.0,3085.81
1975.0,3085.28
1976.0,3085.15
1977.0,3086.47
1978.0,3087.91
1979.0,3086.99
1980.0,3089.23
1981.0,3091.07
1982.0,3090.81
1983.0,3089.49
1984.0,3089.89
1985.0,3089.76
1986.0,3088.7
1987.0,3087.78
1988.0,3087.12
1989.0,3086.07
1990.0,3084.23
1991.0,3081.86
1992.0,3081.59
1993.0,3081.59
1994.0,3081.46
1995.0,3081.07
1996.0,3080.8
1997.0,3079.88
1998.0,3079.22
1999.0,3078.57
2000.0,3078.04
2001.0,3078.17
2002.0,3078.83
2003.0,3075.93
2004.0,3075.8
2005.0,3075.27
2006.0,3074.48
2007.0,3073.69
2008.0,3072.9
2009.0,3072.25
2010.0,3071.19
2011.0,3069.22
2012.0,3067.11
2013.0,3066.98
2014.0,3066.98
2015.0,3066.98
2016.0,3066.19
2017.0,3064.35
2018.0,3063.95
2019.0,3062.37
2020.0,3060.79
2021.0,3060.0
