date,velocity
1966.0,34.91
1967.0,34.41
1968.0,37.41
1969.0,36.57
1970.0,37.07
1971.0,35.74
1972.0,34.58
1973.0,33.91
1974.0,36.08
1975.0,35.41
1976.0,35.58
1977.0,35.24
1978.0,37.57
1979.0,38.9
1980.0,40.9
1981.0,42.89
1982.0,37.57
1983.0,37.57
1984.0,34.58
1985.0,37.41
1986.0,35.74
1987.0,37.07
1989.0,34.08
1990.0,33.75
1994.0,27.93
1995.0,28.42
1996.0,28.42
1997.0,37.07
1998.0,28.42
1999.0,26.43
2000.0,27.93
2001.0,27.26
2002.0,26.43
2003.0,22.77
2004.0,21.44
2005.0,21.27
2006.0,21.44
2007.0,23.43
2008.0,24.77
2009.0,21.11
2010.0,17.78
2011.0,17.45
2012.0,16.95
2013.0,17.28
2014.0,17.78
2015.0,16.78
2016.0,16.45
2017.0,17.11
2018.0,15.95
2019.0,14.29
2020.0,14.45
