date,altitude
1889,1895.4361
1890,1895.4361
1891,1895.4361
1892,1894.3353
1894,1894.6105
1894,1895.1609
1896,1894.3353
1896,1894.3353
1898,1899.0135
1911,1884.4285
1912,1884.7036
1915,1883.8781
1916,1888.0059
1917,1890.2075
1918,1891.3082
1919,1891.3082
1920,1897.0872
1921,1891.3082
1922,1890.4826
1923,1892.6842
1924,1890.7578
1925,1892.1338
1926,1891.3082
1927,1890.7578
1928,1889.9323
1929,1888.5563
1930,1887.7307
1931,1886.0796
1932,1890.4826
1933,1885.8044
1934,1882.7773
1936,1879.7502
1937,1880.0254
1938,1881.1262
1941,1883.3277
1941,1881.1262
1944,1873.4208
1946,1872.8704
1947,1869.5682
1948,1868.7426
1950,1860.7621
1951,1855.5334
1953,1853.6071
1955,1848.9289
1959,1843.1499
1962,1845.5
1964,1844.05
1965,1843.8
1966,1844.45
1967,1843.0
1968,1842.85
1969,1842.7
1970,1843.2
1971,1843.4
1972,1844.7
1973,1844.1
1974,1844.4
1975,1845.1
1976,1842.9
1977,1843.0
1978,1843.24
1979,1843.64
1980,1845.11
1981,1845.05
1982,1845.1
1983,1844.37
1984,1846.1
1985,1847.82
1986,1848.21
1988,1848.3
1989,1846.3
1990,1849.6
1991,1846.39
1992,1842.8
1993,1834.8
1994,1830.7
1995,1827.3
1996,1825.5
1997,1821.5
1998,1817.5
1999,1813.5
2000,1810.0
2001,1805.6
2002,1802.0
2003,1795.8
2004,1793.2
2005,1789.5
2006,1784.9
2007,1780.0
2008,1776.7
2009,1771.5
2010,1767.6
2011,1762.2
2012,1757.2
2013,1750.1
2014,1749.6
2015,1741.8
2016,1736.7
2017,1730.4
2018,1725.1
2019,1718.8
2020,1712.3
2021,1707.1
2022,1699.5
