date,altitude
1967,2231.3
1970,2231.3
1971,2229.7
1972,2229.3
1973,2227.2
1974,2224.7
1975,2227.1
1976,2224.7
1977,2224.7
1978,2226.91
1979,2229.49
1980,2232.76
1981,2231.64
1982,2231.293
1983,2232.11
1985,2235.1
1986,2232.74
1988,2231.1
1989,2228.4
1990,2226.2
1991,2224.1
1992,2219.7
1993,2217.7
1994,2216.4
1995,2216.1
1996,2214.5
1997,2213.4
1998,2211.4
1999,2210.6
2000,2208.5
2001,2208.3
2002,2206.2
2003,2201.8
2004,2199.9
2005,2195.9
2006,2192.9
2007,2189.0
2008,2185.9
2009,2181.4
2010,2177.9
2011,2173.6
2012,2168.4
2013,2165.6
2014,2163.5
2015,2157.5
2016,2154.9
2017,2150.8
2018,2148.0
2019,2144.0
2020,2139.8
2021,2137.4
2022,2131.6
