date,altitude
1922,2087.6334
1923,2087.6334
1924,2086.8078
1925,2087.6334
1926,2086.8078
1927,2087.3582
1928,2087.083
1929,2083.7807
1931,2082.1296
1932,2085.9822
1933,2081.304
1934,2078.5521
1936,2078.2769
1937,2077.1761
1938,2078.0017
1941,2077.4513
1942,2078.8273
1942,2077.1761
1944,2073.5986
1947,2063.4166
1949,2059.0135
1950,2051.5834
1951,2049.1067
1953,2044.9788
1955,2042.5021
1959,2040.5758
1962,2036.25
1964,2035.05
1965,2036.6
1966,2037.2
1967,2036.8
1968,2037.9
1969,2037.9
1970,2039.9
1971,2040.2
1972,2037.4
1973,2040.4
1974,2038.5
1975,2039.4
1976,2039.9
1977,2037.4
1978,2037.44
1979,2037.53
1980,2040.92
1981,2042.19
1982,2041.2
1983,2042.78
1984,2045.0
1985,2047.86
1986,2045.61
1988,2044.66
1989,2043.9
1990,2041.05
1991,2039.19
1992,2035.85
1993,2032.47
1994,2028.6
1995,2027.1
1996,2025.4
1997,2023.5
1998,2019.9
1999,2016.9
2000,2013.6
2001,2011.5
2002,2008.0
2003,2004.3
2004,2000.8
2007,1990.0
2008,1986.5
2009,1981.7
2010,1977.4
2011,1972.7
2012,1967.3
2013,1963.0
2014,1959.1
2015,1951.3
2016,1947.0
2017,1941.1
2018,1936.7
2019,1929.5
2020,1923.2
2021,1918.7
2022,1911.7
