date,velocity
1891,157.0
1892,151.0
1893,154.0
1894,151.0
1895,130.0
1896,122.0
1897,127.0
1898,120.0
1899,117.0
1913,107.0
1917,126.0
1918,131.0
1919,142.0
1923,132.0
1924,129.0
1925,120.0
1927,123.0
1929,122.0
1930,125.0
1931,105.0
1933,99.0
1935,109.0
1938,102.0
1949,71.0
1950,90.0
1952,77.0
1956,72.0
1959,66.0
1962,69.0
1968,82.0
1969,86.0
1970,89.0
1971,93.0
1972,94.0
1973,94.0
1974,93.0
1979,80.0
1985,95.0
1990,70.0
1996,70.8
2001,53.5
2002,48.5
2004,45.0
2005,43.9
2007,43.0
2013,24.0
2014,27.0
2015,24.0
2016,20.0
2018,18.0
2022,12.3
