date,velocity
1924,141.0
1925,131.0
1926,132.0
1927,132.0
1928,132.0
1929,139.0
1930,125.0
1933,110.0
1934,144.0
1935,114.0
1938,104.0
1949,83.0
1950,103.0
1952,89.0
1956,89.0
1959,87.0
1962,103.0
1968,100.0
1969,103.0
1970,108.0
1971,113.0
1972,109.0
1973,109.0
1974,110.0
1979,95.0
1979,94.6
1980,103.3
1981,114.1
1982,110.9
1983,110.4
1984,117.1
1985,122.6
1986,113.5
1989,105.9
1990,103.9
1991,95.2
1992,88.9
1993,87.3
1994,85.0
1995,80.8
1996,85.0
1997,83.2
1998,76.8
1999,73.0
2000,74.8
2001,68.1
2002,71.9
2003,75.6
2004,64.9
2005,67.5
2006,65.1
2007,61.6
2008,58.9
2009,57.3
2010,53.7
2011,51.2
2013,46.5
2014,44.4
2015,42.0
2016,39.0
2020,34.1
2021,31.5
2022,32.3
