date,altitude
1905,2851.0
1906,2846.0
1907,2841.0
1908,2836.0
1909,2835.8
1910,2835.5
1911,2835.3
1912,2835.1
1913,2834.9
1914,2834.6
1915,2834.4
1916,2834.2
1917,2834.0
1918,2833.7
1919,2833.5
1920,2833.3
1921,2833.0
1922,2832.8
1923,2832.6
1924,2832.4
1925,2832.1
1926,2831.9
1927,2831.7
1928,2831.5
1929,2831.2
1930,2831.0
1931,2830.8
1932,2830.5
1933,2830.3
1934,2830.1
1935,2829.9
1936,2829.6
1937,2829.4
1938,2829.2
1939,2829.0
1940,2828.7
1941,2828.5
1942,2828.3
1943,2828.0
1944,2827.8
1945,2827.6
1946,2827.4
1947,2827.1
1948,2826.9
1949,2826.7
1950,2826.5
1951,2826.2
1952,2826.0
1953,2826.1
1954,2826.2
1955,2826.3
1956,2826.4
1957,2826.5
1958,2826.6
1959,2826.7
1962,2825.1
1966,2824.5
1967,2825.1
1968,2824.2
1971,2824.4
1972,2824.8
1973,2824.7
1974,2824.5
1975,2824.4
1976,2824.2
1977,2824.1
1978,2823.9
1979,2823.8
1980,2823.6
1981,2823.5
1982,2823.3
1983,2823.2
1986,2821.6
1987,2820.9
1988,2820.2
1989,2819.5
1990,2818.8
1991,2818.1
1992,2817.4
1993,2816.8
1994,2816.1
1995,2815.4
1996,2814.7
1997,2814.0
1998,2818.6
1999,2817.9
2000,2815.6
2001,2815.9
2002,2815.5
2003,2811.4
2004,2808.8
2005,2804.6
2006,2803.7
2007,2801.1
2008,2798.3
2010,2788.6
2011,2787.4
2012,2787.0
2013,2786.5
2014,2783.9
2015,2780.8
2016,2777.9
2017,2775.3
2018,2773.7
2019,2769.6
2020,2768.3
2021,2766.0
2022,2764.5
