date,altitude
1905,2806.0
1906,2804.0
1907,2802.0
1908,2800.0
1909,2799.6
1910,2799.2
1911,2798.8
1912,2798.5
1913,2798.1
1914,2797.7
1915,2797.3
1916,2796.9
1917,2796.5
1918,2796.1
1919,2795.8
1920,2795.4
1921,2795.0
1922,2794.6
1923,2794.2
1924,2793.8
1925,2793.4
1926,2793.0
1927,2792.7
1928,2792.3
1929,2791.9
1930,2791.5
1931,2791.1
1932,2790.7
1933,2790.3
1934,2790.0
1935,2789.6
1936,2789.2
1937,2788.8
1938,2788.4
1939,2788.0
1940,2787.6
1941,2787.2
1942,2786.9
1943,2786.5
1944,2786.1
1945,2785.7
1946,2785.3
1947,2784.9
1948,2784.5
1949,2784.2
1950,2783.8
1951,2783.4
1952,2783.0
1953,2783.0
1954,2783.0
1955,2783.0
1956,2783.0
1957,2783.0
1958,2783.1
1959,2783.1
1962,2780.2
1966,2779.1
1967,2780.2
1968,2778.6
1971,2778.9
1972,2778.1
1973,2778.2
1974,2778.2
1975,2778.3
1976,2778.4
1977,2778.5
1978,2778.5
1979,2778.6
1980,2778.7
1981,2778.8
1982,2778.8
1983,2778.9
1986,2777.0
1987,2776.0
1988,2775.0
1989,2774.0
1990,2773.5
1991,2773.0
1992,2772.5
1993,2772.0
1994,2771.5
1995,2771.0
1996,2770.5
1997,2770.0
1998,2770.3
1999,2769.6
2000,2767.0
2001,2767.3
2002,2766.9
2003,2762.4
2004,2759.4
2005,2754.8
2006,2753.8
2007,2750.9
2008,2747.7
2010,2735.4
2011,2733.8
2012,2733.3
2013,2732.7
2014,2729.3
2015,2725.4
2016,2721.7
2017,2718.4
2018,2716.4
2019,2711.2
2020,2709.5
2021,2706.5
2022,2704.6
