date,velocity
1957,12.0
1958,10.4
1959,
1960,10.4
1961,11.0
1962,
1963,
1964,
1965,
1966,
1967,13.0
1968,
1969,14.8
1970,
1971,15.0
1972,14.5
1973,14.7
1974,14.0
1975,
1976,14.8
1977,15.8
1978,16.0
1979,
1980,
1981,
1982,18.2
1983,
1984,
1985,17.7
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,14.7
1994,14.8
1995,
1996,14.5
2000,11.376485927289046
2001,11.364931837837592
2002,11.525433042163538
2003,11.750222861967016
2004,10.050498149341438
2005,8.77168879284165
2006,7.774635244268669
2007,7.60280160070403
2008,6.96282522352207
2011,5.458812597862479
2013,4.534118401612373
2014,4.174015753021312
2015,3.7952646465252546
2016,4.444157777864071
2017,4.186299585326932
2018,3.9800095098344244
2019,3.1947291050162963
2020,3.4065200035461967
2021,3.3212205302014315
