date,velocity
1957,9.7
1958,8.1
1959,
1960,8.3
1961,8.8
1962,
1963,7.5
1964,
1965,8.9
1966,8.3
1967,9.6
1968,9.9
1969,11.0
1970,11.0
1971,11.0
1972,10.7
1973,10.3
1974,10.7
1975,10.8
1976,9.2
1977,11.6
1978,12.0
1979,12.6
1980,13.8
1981,14.0
1982,15.0
1983,
1984,
1985,15.0
1986,14.0
1987,14.0
1988,
1989,
1990,13.0
1991,
1992,
1993,10.9
1994,11.2
1995,11.2
1996,11.2
1997,11.347945850703237
1998,10.743946907363801
1999,10.189598507996944
2000,8.380511141297445
2001,8.743257578598033
2002,7.933914404103742
2003,8.26400721222974
2004,6.46185495126
2005,5.944570524589459
2007,5.222601884200661
2008,4.166168274139735
2011,2.2447110649621864
2013,2.315543279593903
2014,2.324164595911455
2015,2.0067765259305084
2016,1.8866344625355358
2017,1.457268826682374
2018,1.799510548250182
2019,1.4895081983432052
2020,1.0999575090866582
2021,1.056350952155789
