date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,obs_tau_b,obs_u_def,obs_u_bed
1932,25.234791310239707,39.10452449257058,0.15489159006282496,0.09830838434695466,0.011631603763577907,13.869733182330876,0.038908057927633445,0.17287123875929405,0.045958760573390794,0.083758,0.09496257142857144,-0.01603329253632653,1.1487528571428571,-0.030288214369913084,0.10993998811053257,43.967597467896624,,,,,,
1956,20.510171576604446,30.595431217338252,0.14221774701811654,0.09150311701766893,0.01204646878659658,10.085259640733806,0.05658068033779746,0.17340647691791516,0.055197877808415646,0.08578008658008658,0.08733492063492064,-0.014985611615995036,1.0778849927849925,-0.02823754313850565,0.10354958580426551,35.676169742485925,,,,,,
1967,21.835739213450204,32.93791518512167,0.14117057598970714,0.09321208547751018,0.004877595998173021,11.102175971671464,0.05532320161409295,0.16715920924226654,0.04954278110940596,0.08578268398268399,0.075298556998557,-0.013028541557337963,1.104300432900433,-0.03075750901312945,0.0980896814756832,38.21904515331305,,,,,,
1968,,,,,,,,,,,,,,,,,,44.49,,,,
1969,,,,,,,,,,,,,,,,,,47.65,,,,
1970,,,,,,,,,,,,,,,,,,48.84,,,,
1971,,,,,,,,,,,,,,,,,2855.7428571428572,45.55,153.95285714285728,0.09246326053531369,10.988585223898804,34.561414776101195
1972,,,,,,,,,,,,,,,,,2855.6028571428574,45.38,153.8128571428574,0.09235232100110691,10.939234170496634,34.44076582950337
1973,,,,,,,,,,,,,,,,,2857.862857142857,49.67,156.07285714285717,0.09414320205330347,11.7525211059399,37.9174788940601
1974,,,,,,,,,,,,,,,,,2857.152857142857,,155.36285714285714,0.0935805801298257,11.49317875714755,
1975,,,,,,,,,,,,,,,,,2857.302857142857,47.06,155.51285714285723,0.093699443916476,11.547674093749206,35.512325906250794
1976,,,,,,,,,,,,,,,,,2858.9928571428572,48.13,157.20285714285728,0.09503864257940194,12.172639669040256,35.957360330959744
1977,,,,,,,,,,,,,,,,,2857.0828571428574,,155.29285714285743,0.0935251103627225,11.467801557721929,
1978,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,2858.1428571428573,58.03,156.35285714285737,0.09436508112171739,11.855774963352362,46.17422503664764
1980,,,,,,,,,,,,,,,,,2856.3128571428574,65.41,154.52285714285745,0.09291494292458467,11.190908973444376,54.21909102655562
1981,,,,,,,,,,,,,,,,,2861.1828571428573,67.24,159.39285714285734,0.09677405386449531,13.013042643303262,54.22695735669673
1982,26.952318841344862,41.74353384022615,0.15359482780696582,0.10040630001878,0.007094400368954242,14.791214998881287,0.0730737813737311,0.17054792562933796,0.055000125693163086,0.08662077363896847,0.08247292263610315,-0.014304941393954072,1.1638425501432665,-0.03082167167207272,0.10750070038773424,47.15591907849983,2861.8928571428573,66.89,160.10285714285737,0.09733667578797309,13.293045972466597,53.5969540275334
1983,,,,,,,,,,,,,,,,,2862.532857142857,61.94,160.74285714285725,0.09784382794434729,13.548656078523237,48.39134392147676
1984,,,,,,,,,,,,,,,,,2863.942857142857,,162.1528571428571,0.09896114753885929,14.122669209127828,
1985,,,,,,,,,,,,,,,,,2862.3128571428574,,160.52285714285745,0.09766949439059378,13.460444901965229,
1986,,,,,,,,,,,,,,,,,2860.9728571428573,59.17,159.1828571428573,0.09660764456318496,12.93093850057574,46.23906149942426
1987,,,,,,,,,,,,,,,,,2861.112857142857,55.13,159.32285714285717,0.09671858409739173,12.985638509298976,42.14436149070103
1988,,,,,,,,,,,,,,,,,2859.5628571428574,51.94,157.77285714285745,0.09549032496867293,12.38802448190092,39.55197551809908
1989,,,,,,,,,,,,,,,,,2858.072857142857,50.38,156.2828571428572,0.09430961135461383,11.82990943116461,38.550090568835394
1990,,,,,,,,,,,,,,,,,2856.732857142857,46.9,154.94285714285706,0.09324776152720501,11.34142935230308,35.55857064769692
1991,19.737948252508634,29.208654378894554,0.14316609304067957,0.09039746528465567,0.013405923588717669,9.47070612638592,0.05490281816474255,0.17383109659837986,0.05315162944180715,0.08791531791907514,0.08812196531791908,-0.015494583896304585,1.0719949421965318,-0.025610891631893246,0.10380338887337334,34.03534557271281,2855.7428571428572,41.16,153.95285714285728,0.09246326053531369,10.988585223898804,30.171414776101194
1992,,,,,,,,,,,,,,,,,,38.18,,,,
1993,,,,,,,,,,,,,,,,,2852.5628571428574,,150.77285714285745,0.08994334825832899,9.900383737022198,
1994,,,,,,,,,,,,,,,,,2850.7228571428573,36.83,148.9328571428573,0.08848528580875276,9.301383694641602,27.528616305358398
1995,,,,,,,,,,,,,,,,,,35.93,,,,
1996,,,,,,,,,,,,,,,,,2849.172857142857,38.38,147.38285714285712,0.08725702668003359,8.813725840491909,29.566274159508094
1997,,,,,,,,,,,,,,,,,2849.522857142857,36.36,147.73285714285703,0.08753437551555072,8.922506891917351,27.43749310808265
1998,,,,,,,,,,,,,,,,,2850.1628571428573,33.66,148.37285714285736,0.08804152767192529,9.12343003315291,24.536569966847086
1999,,,,,,,,,,,,,,,,,2848.882857142857,30.8,147.09285714285716,0.08702722335917651,8.724178135135489,22.075821864864512
2000,,,,,,,,,,,,,,,,,2846.692857142857,29.99,144.9028571428571,0.08529181207408315,8.064843991255593,21.925156008744406
2001,,,,,,,,,,,,,,,,,2845.3528571428574,30.59,143.5628571428574,0.0842299622466747,7.675884505377482,22.914115494622518
2002,,,,,,,,,,,,,,,,,2842.6628571428573,29.51,140.87285714285736,0.0820983383394139,6.9272823179885865,22.582717682011413
2003,,,,,,,,,,,,,,,,,2844.6428571428573,29.68,142.85285714285737,0.08366734032319693,7.474159779361001,22.205840220638997
2004,14.655565327410697,21.166290558168885,0.1319708436105746,0.08142758697464116,0.015991232986802002,6.510725230758188,0.06473368047158416,0.18069664002275806,0.05121779962920585,0.08061734693877551,0.09403615160349856,-0.015341954435843061,0.9972680758017493,-0.027876267045828757,0.09741881996144316,25.28484893522487,2842.1028571428574,25.14,140.3128571428574,0.08165458020258644,6.776733587446888,18.363266412553113
2005,,,,,,,,,,,,,,,,,2841.112857142857,27.75,139.32285714285717,0.08087007921069475,6.514959809239942,21.23504019076006
2006,,,,,,,,,,,,,,,,,2839.0628571428574,20.71,137.27285714285745,0.07924560745980853,5.99036782850699,14.71963217149301
2007,,,,,,,,,,,,,,,,,2836.802857142857,19.49,135.01285714285723,0.0774547264076116,5.4386455550238,14.051354444976198
2008,11.87724314412145,16.75445133202551,0.12434634312619329,0.07577312428741069,0.020279441455248515,4.87720818790406,0.07028444051699252,0.18369192624958816,0.053036633576981865,0.0809290989660266,0.09628892171344165,-0.01582107550419022,0.939746528803545,-0.023511013957751778,0.0960525657426592,20.21384514981453,2834.752857142857,18.18,132.96285714285705,0.07583025465672501,4.961585363256625,13.218414636743375
2009,,,,,,,,,,,,,,,,,2832.4128571428573,17.32,130.62285714285736,0.07397597958498171,4.443354491811331,12.87664550818867
2010,,,,,,,,,,,,,,,,,2832.7028571428573,15.72,130.91285714285732,0.07420578290583879,4.506087935898933,11.213912064101066
2011,,,,,,,,,,,,,,,,,2830.862857142857,14.85,129.07285714285717,0.07274772045626254,4.1150709521061115,10.734929047893889
2012,9.455807445718765,13.037874026517931,0.11764378908054159,0.07009005348149186,0.017894827880451422,3.5820665807991663,0.07781716730042607,0.18106138014869264,0.06068235193508579,0.07877407975460121,0.0880398773006135,-0.013956375636291355,0.8946556748466257,-0.017167935355734496,0.08798488136194328,15.721035610051233,2831.282857142857,13.55,129.49285714285725,0.07308053905888325,4.20286616542233,9.34713383457767
2013,,,,,,,,,,,,,,,,,2828.172857142857,12.64,126.38285714285712,0.07061609654900176,3.5727518641208036,9.067248135879197
2014,,,,,,,,,,,,,,,,,2827.6828571428573,12.32,125.89285714285734,0.07022780817927786,3.47761876545212,8.84238123454788
2015,,,,,,,,,,,,,,,,,2826.9728571428573,14.9,125.1828571428573,0.0696651862558001,3.3417300062488513,11.55826999375115
2016,,,,,,,,,,,,,,,,,2825.7028571428573,11.84,123.91285714285732,0.06865880619549485,3.104362445257234,8.735637554742766
