date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,obs_tau_b,obs_u_def,obs_u_bed
1904,37.4067399946972,81.97521564708762,0.20578692254490938,0.1262299605566371,0.09282770429231786,44.568475652390426,0.09209035151567091,0.0918509621328172,0.08938478692772717,-0.07870138728152681,0.04154648834332473,-0.007920019053698886,2.3135927868852457,0.028377080341406877,0.21905766484895495,84.63650070351872,,,,,,
1949,25.09247267214026,56.360582441479025,0.16257021133362012,0.11040543487316197,0.08295545262299085,31.268109769338764,0.08134018336180386,0.07456368306170144,0.07328645341341299,-0.06798681880440932,0.020533274639937215,-0.005043822898582674,2.2102259136212625,0.02379156811943435,0.19336088749615282,58.286933187151206,2398.4,,289.0799999999999,0.11366655073954651,31.141404459818535,
1952,28.27298154790762,60.36611756122437,0.18383576402722684,0.11494760258470843,0.07918707886964936,32.09313601331675,0.08421547883024798,0.08478227395975513,0.07853341030432893,-0.07397145523368735,0.03361725303984113,-0.006601895891334119,2.2072617940199337,0.02356318596760798,0.1941346814543578,62.701889475530336,,,,,,
1959,,,,,,,,,,,,,,,,,2398.3,,288.98,0.1136281416369113,31.091864494397644,
1969,,,,,,,,,,,,,,,,,2405.1,,295.77999999999975,0.11623996061610771,34.579551792633445,
1970,,,,,,,,,,,,,,,,,2405.2,,295.87999999999965,0.1162783697187429,34.632671242722445,
1971,,,,,,,,,,,,,,,,,2403.2,,293.87999999999965,0.11551018766603806,33.580472299622464,
1972,,,,,,,,,,,,,,,,,2403.3,,293.98,0.11554859676867343,33.632574813023936,
1975,,,,,,,,,,,,,,,,,2401.5,,292.17999999999984,0.114857232921239,32.7028336342506,
1976,,,,,,,,,,,,,,,,,2398.9,101.05760112497204,289.5799999999999,0.11385859625272272,31.38987656933212,69.66772455563992
1977,,,,,,,,,,,,,,,,,2400.3,108.68668246607106,290.98,0.11439632368961615,32.09247766358381,76.59420480248725
1978,,,,,,,,,,,,,,,,,2401.5,104.86667952035798,292.17999999999984,0.114857232921239,32.7028336342506,72.16384588610737
1979,30.502252216713966,63.401911001415954,0.20827518392859146,0.11792997986030394,0.10332410509986949,32.899658784701984,0.10419465580361663,0.09647056671110871,0.10124660332810702,-0.08411285061878451,0.03837595581053891,-0.008547685623590394,2.2252648026315787,0.034000257836069206,0.22125408496017343,65.63382526723076,2402.2,114.36803232723076,292.87999999999965,0.11512609663968564,33.06236502328654,81.30566730394423
1980,,,,,,,,,,,,,,,,,2403.6,119.23178018555244,294.27999999999975,0.11566382407657906,33.78920167753584,85.4425785080166
1981,,,,,,,,,,,,,,,,,2403.2,132.98611121072213,293.87999999999965,0.11551018766603806,33.580472299622464,99.40563891109966
1982,,,,,,,,,,,,,,,,,2405.2,135.7745631348783,295.87999999999965,0.1162783697187429,34.632671242722445,101.14189189215585
1983,,,,,,,,,,,,,,,,,2405.3,137.5331732275243,295.98,0.1163167788213783,34.68584457924021,102.84732864828408
1984,,,,,,,,,,,,,,,,,2405.4,128.08843084719553,296.0799999999999,0.1163551879240135,34.73907183861694,93.34935900857859
1985,,,,,,,,,,,,,,,,,2405.8,131.82672298536664,296.48,0.1165088243345545,34.95252083376036,96.87420215160628
1986,,,,,,,,,,,,,,,,,,133.58865216121495,,,,
1987,,,,,,,,,,,,,,,,,2404.7,129.00035294810286,295.37999999999965,0.1160863242055667,34.367612128379974,94.63274081972288
1988,,,,,,,,,,,,,,,,,2403.7,126.36991101089616,294.37999999999965,0.11570223317921427,33.841517194506146,92.52839381639001
1989,,,,,,,,,,,,,,,,,2402.8,125.50513671432982,293.48,0.11535655125549722,33.37259348836103,92.13254322596879
