date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_interp,obs_tau_b,obs_u_def,obs_u_bed,u_def_interp,u_bed_interp,tau_b_interp
1904,,,,,,,,,,,,,,,,,2410.4341069199945,,131.06410691999463,0.16531010595198478,0.11409535624621464,7.208837590820547,,14.639358151832596,,0.14070431652913892
1921,,,,,,,,,,,,,,,,,2414.112509442328,,134.7425094423279,0.18406005361440722,0.12258629370729354,10.235878175126079,,11.078135468579804,,0.1302776494744219
1922,,,,,,,,,,,,,,,,,2410.828221475959,56.23489994668425,131.4582214759589,0.1851629917121968,0.12134152391431124,9.713311218139882,46.52158872854437,10.868651781329639,45.36624816535461,0.1296643161182621
1923,,,,,,,,,,,,,,,,,2411.616450587888,52.51896270473544,132.24645058788792,0.18626592980998635,0.12213200118985873,10.04175860941551,42.477204095319934,10.659168094079474,41.85979461065597,0.12905098276210228
1924,,,,,,,,,,,,,,,,,2410.4341069199945,56.34750410553118,131.06410691999463,0.1873688679077759,0.12192700800054121,9.95545304882772,46.39205105670346,10.449684406829311,45.897819698701866,0.12843764940594243
1925,21.444197921890748,31.684398641469894,0.1768140549836522,0.12155591217446449,0.10659655588569147,10.240200719579146,0.18847180600556546,0.22419473334727333,0.17568656541489883,0.12474850746268655,-0.17750335820895521,-0.04706963228962464,0.8262776119402986,0.13578340329610653,0.22815246806015596,35.67455542008219,2409.1203917334474,56.34750410553118,129.7503917334475,0.18847180600556546,0.12164787859283033,9.839210907988814,46.508293197542365,10.240200719579146,46.10730338595204,0.12782431604978262
1926,,,,,,,,,,,,,,,,,2410.171363882685,54.32062924628638,130.8013638826851,0.189574744103355,0.12257524577479381,10.231110406153018,44.089518840133366,10.030717032328981,44.2899122139574,0.1272109826936228
1927,,,,,,,,,,,,,,,,,2409.1203917334474,66.36927424290825,129.7503917334475,0.19067768220114456,0.12242319374731736,10.165730492521018,56.203543750387226,9.821233345078818,56.54804089782943,0.12659764933746295
1928,,,,,,,,,,,,,,,,,2409.9086208453755,64.34239938366345,130.5386208453756,0.1917806202989341,0.12322034354066816,10.51347085475151,53.82892852891194,9.611749657828653,54.730649725834795,0.12598431598130314
1929,,,,,,,,,,,,,,,,,2407.9380480655545,56.460108264378114,128.56804806555465,0.1928835583967237,0.12258073806821759,10.233480328101788,46.22662793627633,9.402265970578489,47.057842293799624,0.12537098262514332
1930,,,,,,,,,,,,,,,,,2407.018447434971,44.07365079121544,127.64844743497133,0.19398649649451324,0.12248162720258154,10.190803355953847,33.882847435261596,9.192782283328325,34.880868507887115,0.12475764926898349
1931,,,,,,,,,,,,,,,,,,45.6501090150725,,0.1950894345923028,,,,8.98329859607816,36.666810418994345,0.12414431591282367
1932,,,,,,,,,,,,,,,,,2401.894958207436,45.42490069737864,122.52495820743616,0.19619237269009235,0.1205214527554811,9.384826037310816,36.04007466006782,8.773814908827996,36.651085788550645,0.12353098255666384
1933,,,,,,,,,,,,,,,,,2400.9753575768523,46.43833812700104,121.60535757685238,0.1972953107878819,0.12039604431967699,9.335674083496176,37.10266404350486,8.564331221577833,37.87400690542321,0.12291764920050402
1934,,,,,,,,,,,,,,,,,,45.31229653853171,,0.19839824888567145,,,,8.354847534327668,36.957449004204044,0.12230431584434419
1935,,,,,,,,,,,,,,,,,2397.034212017209,,117.66421201720914,0.19950118698346103,0.1189928030438343,8.804790275428289,,8.145363847077503,,0.12169098248818437
1936,,,,,,,,,,,,,,,,,,26.05698537570609,,0.20060412508125058,,,,7.935880159827339,18.121105215878753,0.12107764913202454
1938,,,,,,,,,,,,,,,,,2398.085184166448,,118.71518416644813,0.2028100012768297,0.12062483519177494,9.42555934902909,,7.51691278532701,,0.11985098241970489
1945,,,,,,,,,,,,,,,,,2387.5754626740672,,108.20546267406735,0.21053056796135658,0.11711394997760917,8.146955115341399,,6.0505269745758605,,0.11555764892658613
1946,,,,,,,,,,,,,,,,,2380.0872861107464,26.845214487634628,100.7172861107465,0.21163350605914613,0.11314435525556704,6.941715610006192,19.903498877628437,5.8410432873256966,21.00417120030893,0.1149443155704263
1948,,,,,,,,,,,,,,,,,2369.97167917433,18.06209009757383,90.60167917433,0.21383938225472524,0.10788658322762985,5.686003142990647,12.376086954583183,5.422075912825368,12.640014184748463,0.11371764885810665
1950,,,,,,,,,,,,,,,,,2363.008988685628,16.59823603256369,83.63898868562819,0.21604525845030437,0.10435313029452485,5.029053572215536,11.569182460348156,5.003108538325039,11.595127494238652,0.112490982145787
1951,,,,,,,,,,,,,,,,,,11.868861360992495,,0.21714819654809392,,,,4.793624851074875,7.07523650991762,0.11187764878962717
1952,11.056723602531248,15.640864766355959,0.14508158827177173,0.09711349483165453,0.07122915077007781,4.584141163824711,0.21825113464588347,0.2607427163172119,0.3065656138289374,0.16285000000000002,-0.1612389423076923,-0.052518119016503335,0.602039423076923,0.12452969897105765,0.16834264560173234,17.03778721118065,2352.105152637283,13.220111267155689,72.73515263728314,0.21825113464588347,0.09840640530481604,4.202918010276399,9.01719325687929,4.584141163824711,8.635970103330978,0.11126431543346735
1953,,,,,,,,,,,,,,,,,2345.93069126051,,66.56069126050988,0.23421813166819722,0.09763489464800885,4.117904394989361,,4.615524179347998,,0.11159797253525552
1954,,,,,,,,,,,,,,,,,2341.726802663557,12.319277996380222,62.35680266355712,0.25018512869051096,0.09766475711463292,4.12110955787816,8.198168438502062,4.646907194871286,7.6723708015089365,0.1119316296370437
1955,,,,,,,,,,,,,,,,,,9.729382342900749,,0.2661521257128247,,,,4.678290210394573,5.0510921325061755,0.11226528673883188
1956,,,,,,,,,,,,,,,,,2340.0189729210456,10.968028090217018,60.6489729210457,0.2821191227351385,0.10175377300301633,4.628429692496845,6.339598397720173,4.709673225917862,6.258354864299156,0.11259894384062004
1957,,,,,,,,,,,,,,,,,2331.217081171177,10.067194819441552,51.84708117117725,0.29808611975745225,0.09726966963878976,4.0792511122372925,5.987943707204259,4.741056241441149,5.3261385780004025,0.11293260094240822
1959,,,,,,,,,,,,,,,,,2329.246508391356,12.769694631767962,49.87650839135631,0.33002011380207974,0.09999304947635043,4.392715551621547,8.376979080146416,4.803822272487724,7.965872359280238,0.11359991514598457
1960,,,,,,,,,,,,,,,,,2326.487706499606,11.756257202145562,47.1177064996059,0.3459871108243935,0.09956469059928025,4.339430838448424,7.4168263636971385,4.835205288011012,6.921051914134551,0.11393357224777274
1961,,,,,,,,,,,,,,,,,,11.756257202145562,,0.36195410784670723,,,,4.866588303534299,6.889668898611263,0.11426722934956092
1962,,,,,,,,,,,,,,,,,2324.779876757094,17.94948593872688,45.409876757094025,0.377921104869021,0.1018922390486629,4.6481450957763615,13.30134084295052,4.897971319057587,13.051514619669295,0.1146008864513491
1963,,,,,,,,,,,,,,,,,2320.838731197452,14.79656949101276,41.46873119745214,0.3938881018913347,0.09965115962752949,4.350062886237117,10.446506604775642,4.929354334580874,9.867215156431886,0.11493454355313727
1965,,,,,,,,,,,,,,,,,2318.86815841763,14.683965332165812,39.49815841763029,0.4258220959359622,0.10096536551388893,4.519493811521327,10.164471520644485,4.99212036562745,9.691844966538362,0.11560185775671361
1966,,,,,,,,,,,,,,,,,,19.751152480277824,,0.441789092958276,,,,5.0235033811507375,14.727649099127087,0.11593551485850179
