date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope_x,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_y,obs_tau_b,obs_u_def,obs_u_def_2,obs_u_bed,obs_u_bed_2
1890,,,,,,,,,,,,,,,,,1895.4361,,321.2860999999998,0.10468936847203181,0.13197566484903167,32.95816486429517,16.269872858750187,,
1891,,,,,,,,,,,,,,,,,1895.4361,157.0,321.2860999999998,0.1050251629047138,0.13197566484903167,32.95816486429517,16.269872858750187,124.04183513570483,140.73012714124982
1892,,,,,,,,,,,,,,,,,1895.4361,151.0,321.2860999999998,0.1053609573373958,0.13197566484903167,32.95816486429517,16.269872858750187,118.04183513570483,134.73012714124982
1893,,,,,,,,,,,,,,,,,1894.3353,154.0,320.18529999999987,0.10569675177007778,0.13174998745803057,32.61418447172635,16.131092576571017,121.38581552827365,137.868907423429
1894,,,,,,,,,,,,,,,,,1894.6105,151.0,320.4604999999999,0.10603254620275979,0.13180640680578087,32.6998477229192,16.165707454755974,118.3001522770808,134.834292545244
1895,,,,,,,,,,,,,,,,,1895.1609,130.0,321.0109,0.10636834063544179,0.13191924550128142,32.87183753934159,16.2350975424272,97.12816246065842,113.7649024575728
1896,,,,,,,,,,,,,,,,,1894.3353,122.0,320.18529999999987,0.10670413506812379,0.13174998745803057,32.61418447172635,16.131092576571017,89.38581552827365,105.86890742342898
1897,,,,,,,,,,,,,,,,,1894.3353,127.0,320.18529999999987,0.10703992950080579,0.13174998745803057,32.61418447172635,16.131092576571017,94.38581552827365,110.86890742342898
1898,,,,,,,,,,,,,,,,,1899.0135,120.0,324.86349999999993,0.10737572393348778,0.13270907536735238,34.100706795971206,16.72682201302991,85.8992932040288,103.2731779869701
1899,,,,,,,,,,,,,,,,,,117.0,,0.10771151836616978,,,,,
1911,,,,,,,,,,,,,,,,,1884.4285,,310.2784999999999,0.11174105155835376,0.12971897294388646,29.674415679254935,14.920137807833983,,
1913,,,,,,,,,,,,,,,,,1884.7036,107.0,310.55359999999996,0.11241264042371775,0.12977537179042026,29.752345784200987,14.952852872180657,77.24765421579902,92.04714712781934
1916,,,,,,,,,,,,,,,,,1883.8781,,309.7280999999998,0.11342002372176374,0.12960613424838585,29.519119847576956,14.854838229134819,,
1917,,,,,,,,,,,,,,,,,1888.0059,126.0,313.8559,0.11375581815444574,0.13045238346220714,30.704109778310404,15.349597758092322,95.2958902216896,110.65040224190767
1918,,,,,,,,,,,,,,,,,1890.2075,131.0,316.0574999999999,0.11409161258712773,0.13090373824420937,31.355555680512527,15.618268843301081,99.64444431948748,115.38173115669892
1919,,,,,,,,,,,,,,,,,1891.3082,142.0,317.15819999999985,0.11442740701980973,0.13112939513399396,31.686395210451433,15.753852138711444,110.31360478954856,126.24614786128856
1920,,,,,,,,,,,,,,,,,1897.0872,,322.93719999999985,0.11476320145249173,0.13231416043431687,33.48077473503479,16.47963917769509,,
1921,,,,,,,,,,,,,,,,,1891.3082,,317.15819999999985,0.11509899588517372,0.13112939513399396,31.686395210451433,15.753852138711444,,
1922,,,,,,,,,,,,,,,,,1890.4826,,316.33259999999996,0.11543479031785572,0.13096013709074317,31.437919779830377,15.652076462330907,,
1923,,,,,,,,,,,,,,,,,1892.6842,132.0,318.5341999999998,0.11577058475053773,0.13141149187274537,32.104854891916546,15.924534717697505,99.89514510808345,116.0754652823025
1924,,,,,,,,,,,,,,,,,,129.0,,0.11610637918321973,,,,,
1925,,,,,,,,,,,,,,,,,1890.7578,120.0,316.6078,0.11644217361590171,0.13101655643849344,31.520529101641074,15.685948989057067,88.47947089835893,104.31405101094293
1926,,,,,,,,,,,,,,,,,1892.1338,,317.9838,0.11677796804858372,0.13129865317724485,31.93681866857117,15.856102899682329,,
1927,,,,,,,,,,,,,,,,,1891.3082,123.0,317.15819999999985,0.11711376248126572,0.13112939513399396,31.686395210451433,15.753852138711444,91.31360478954856,107.24614786128856
1929,,,,,,,,,,,,,,,,,1889.9323,122.0,315.78229999999985,0.11778535134662971,0.13084731889645906,31.273376549927743,15.58450150057473,90.72662345007225,106.41549849942527
1930,,,,,,,,,,,,,,,,,1888.5563,125.0,314.4062999999999,0.11812114577931171,0.13056522215770766,30.865692025750995,15.416451560312868,94.134307974249,109.58354843968714
1931,,,,,,,,,,,,,,,,,1887.7307,105.0,313.5807,0.11845694021199371,0.13039596411445686,30.6236367856045,15.316249111544877,74.3763632143955,89.68375088845512
1932,,,,,,,,,,,,,,,,,1886.0796,,311.92959999999994,0.1187927346446757,0.13005746852917166,30.145258020683062,15.117261469665381,,
1933,,,,,,,,,,,,,,,,,1890.4826,99.0,316.33259999999996,0.1191285290773577,0.13096013709074317,31.437919779830377,15.652076462330907,67.56208022016962,83.34792353766909
1934,,,,,,,,,,,,,,,,,1885.8044,,311.6543999999999,0.1194643235100397,0.13000104918142136,30.066258310476254,15.084276393527807,,
1935,,,,,,,,,,,,,,,,,1882.7773,109.0,308.6272999999999,0.1198001179427217,0.12938045685738475,29.211002348499335,14.72485501644258,79.78899765150067,94.27514498355742
1937,,,,,,,,,,,,,,,,,1879.7502,,305.60019999999986,0.1204717068080857,0.12875986453334815,28.380545292024628,14.37162293638038,,
1938,,,,,,,,,,,,,,,,,1880.0254,102.0,305.8753999999999,0.1208075012407677,0.12881628388109845,28.455031867276624,14.403482067783425,73.54496813272337,87.59651793221657
1939,,,,,,,,,,,,,,,,,1881.1262,,306.97619999999984,0.12114329567344968,0.12904196127209955,28.754995005440396,14.53142544345449,,
1941,,,,,,,,,,,,,,,,,1883.3277,,309.17769999999996,0.12181488453881369,0.12949329555288536,29.364649714656657,14.789744104929808,,
1942,,,,,,,,,,,,,,,,,1881.1262,,306.97619999999984,0.12215067897149569,0.12904196127209955,28.754995005440396,14.53142544345449,,
1945,,,,,,,,,,,,,,,,,1873.4208,,299.2708,0.12315806226954168,0.12746226053752474,26.722140756595522,13.65274065777301,,
1946,,,,,,,,,,,,,,,,,1872.8704,,298.7203999999999,0.12349385670222367,0.12734942184202414,26.58280734669571,13.591470970518222,,
1948,,,,,,,,,,,,,,,,,1869.5682,,295.41819999999984,0.12416544556758767,0.12667243067145373,25.762886010551604,13.228000629043464,,
1949,,,,,,,,,,,,,,,,,1868.7426,71.0,294.59259999999995,0.12450124000026967,0.12650317262820293,25.562142038862316,13.13822613763301,45.43785796113768,57.86177386236699
1950,,,,,,,,,,,,,,,,,1860.7621,90.0,286.6120999999998,0.12483703443295166,0.12486707304709424,23.706939105584688,12.29274756139591,66.2930608944153,77.70725243860409
1952,,,,,,,,,,,,,,,,,1855.5334,77.0,281.38339999999994,0.12550862329831566,0.12379512594105543,22.572562387419104,11.760336752404731,54.427437612580896,65.23966324759527
