u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
25.234791310239707,39.10452449257058,0.15489159006282496,0.09830838434695466,0.011631603763577907,13.869733182330876,0.038908057927633445,0.17287123875929405,0.083758,0.09496257142857144,-0.01603329253632653,1.1487528571428571,-0.030288214369913084,1932.0,0.10993998811053257,,,,,,
20.510171576604446,30.595431217338252,0.14221774701811654,0.09150311701766893,0.01204646878659658,10.085259640733806,0.05658068033779746,0.17340647691791516,0.08578008658008658,0.08733492063492064,-0.014985611615995036,1.0778849927849925,-0.02823754313850565,1956.0,0.10354958580426551,,,,,,
21.835739213450204,32.93791518512167,0.14117057598970714,0.09321208547751018,0.004877595998173021,11.102175971671464,0.05532320161409295,0.16715920924226654,0.08578268398268399,0.075298556998557,-0.013028541557337963,1.104300432900433,-0.03075750901312945,1967.0,0.0980896814756832,,,,,,
,,,,,,,,,,,,,1968.0,,44.49,,,,,
,,,,,,,,,,,,,1969.0,,47.65,,,,,
,,,,,,,,,,,,,1970.0,,48.84,,,,,
,,,,,,,,,,,,,1971.0,,45.55,2887.96,186.17000000000007,0.09273145156158377,11.11918944357531,34.43081055642469
,,,,,,,,,,,,,1972.0,,45.38,2887.82,186.0300000000002,0.09262219502086366,11.072444810065193,34.30755518993481
,,,,,,,,,,,,,1973.0,,49.67,2890.08,188.28999999999996,0.09438590774963226,11.84003236056785,37.829967639432155
,,,,,,,,,,,,,1974.0,,,2889.37,187.57999999999993,0.09383182100740842,11.595887579062921,
,,,,,,,,,,,,,1975.0,,47.06,2889.52,187.73000000000002,0.09394888158675155,11.647237087752064,35.41276291224794
,,,,,,,,,,,,,1976.0,,48.13,2891.21,189.42000000000007,0.09526776411401675,12.234337407070313,35.89566259292969
,,,,,,,,,,,,,1977.0,,,2889.3,187.51000000000022,0.09377719273704854,11.571966593526227,
,,,,,,,,,,,,,1978.0,,,,,,,
,,,,,,,,,,,,,1979.0,,58.03,2890.36,188.57000000000016,0.09460442083107282,11.937077314473843,46.09292268552616
,,,,,,,,,,,,,1980.0,,65.41,2888.53,186.74000000000024,0.09317628176308751,11.310598514308719,54.099401485691274
,,,,,,,,,,,,,1980.0,,65.41,2889.94,188.1500000000001,0.09427665120891218,11.791671953744906,53.61832804625509
,,,,,,,,,,,,,1981.0,,67.24,2893.4,191.61000000000013,0.09697684857242547,13.018869166243107,54.22113083375689
26.952318841344862,41.74353384022615,0.15359482780696582,0.10040630001878,0.007094400368954242,14.791214998881287,0.0730737813737311,0.17054792562933796,0.08662077363896847,0.08247292263610315,-0.014304941393954072,1.1638425501432665,-0.03082167167207272,1982.0,0.10750070038773424,66.89,2894.11,192.32000000000016,0.09753093531464932,13.279059127389754,53.61094087261024
,,,,,,,,,,,,,1983.0,,61.94,2894.75,192.96000000000004,0.09803039378651293,13.516079198302528,48.42392080169747
,,,,,,,,,,,,,1984.0,,,2896.16,194.3699999999999,0.0991307632323376,14.046649370496532,
,,,,,,,,,,,,,1985.0,,,2894.53,192.74000000000024,0.09785870493680995,13.434337003520799,
,,,,,,,,,,,,,1986.0,,59.17,2893.19,191.4000000000001,0.09681296376134516,12.94246371935014,46.22753628064986
,,,,,,,,,,,,,1987.0,,55.13,2893.33,191.53999999999996,0.09692222030206524,12.993372752394631,42.136627247605375
,,,,,,,,,,,,,1988.0,,51.94,2891.78,189.99000000000024,0.09571259431552051,12.435930993573738,39.50406900642626
,,,,,,,,,,,,,1989.0,,50.38,2890.29,188.5,0.09454979256071258,11.912775508256114,38.46722449174389
,,,,,,,,,,,,,1990.0,,46.9,2888.95,187.15999999999985,0.09350405138524778,11.452762892388497,35.4472371076115
19.737948252508634,29.208654378894554,0.14316609304067957,0.09039746528465567,0.013405923588717669,9.47070612638592,0.05490281816474255,0.17383109659837986,0.08791531791907514,0.08812196531791908,-0.015494583896304585,1.0719949421965318,-0.025610891631893246,1991.0,0.10380338887337334,41.16,2887.96,186.17000000000007,0.09273145156158377,11.11918944357531,30.040810556424688
19.737948252508634,29.208654378894554,0.14316609304067957,0.09039746528465567,0.013405923588717669,9.47070612638592,0.05490281816474255,0.17383109659837986,0.08791531791907514,0.08812196531791908,-0.015494583896304585,1.0719949421965318,-0.025610891631893246,1991.0,0.10380338887337334,41.16,2886.83,185.03999999999996,0.09184959519719929,10.744892720517123,30.415107279482875
,,,,,,,,,,,,,1992.0,,38.18,,,,,
