u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
,,,,,,,,,,,,,1889.0,,,1895.4361,321.4360999999999,0.12535737434674965,27.32852106128758,
,,,,,,,,,,,,,1890.0,,,1895.4361,321.4360999999999,0.12535737434674965,27.32852106128758,
,,,,,,,,,,,,,1891.0,,157.0,1895.4361,321.4360999999999,0.12535737434674965,27.32852106128758,129.67147893871243
,,,,,,,,,,,,,1892.0,,151.0,1894.3353,320.33529999999996,0.1251142462390329,27.015398030064,123.984601969936
,,,,,,,,,,,,,1893.0,,154.0,,,,,
,,,,,,,,,,,,,1894.0,,151.0,1894.6105,320.6105,0.12517502826596208,27.093376850956993,123.90662314904301
,,,,,,,,,,,,,1894.0,,151.0,1895.1609,321.1609000000001,0.1252965923198205,27.249938021106146,123.75006197889385
,,,,,,,,,,,,,1895.0,,130.0,,,,,
,,,,,,,,,,,,,1896.0,,122.0,1894.3353,320.33529999999996,0.1251142462390329,27.015398030064,94.984601969936
,,,,,,,,,,,,,1896.0,,122.0,1894.3353,320.33529999999996,0.1251142462390329,27.015398030064,94.984601969936
,,,,,,,,,,,,,1897.0,,127.0,,,,,
,,,,,,,,,,,,,1898.0,,120.0,1899.0135,325.0135,0.12614749652384452,28.36855868867979,91.6314413113202
,,,,,,,,,,,,,1899.0,,117.0,,,,,
,,,,,,,,,,,,,1911.0,,,1884.4285,310.4285,0.12292618161555127,24.339281424920713,
,,,,,,,,,,,,,1912.0,,,1884.7036,310.70360000000005,0.12298694155598813,24.41022398132049,
,,,,,,,,,,,,,1913.0,,107.0,,,,,
,,,,,,,,,,,,,1915.0,,,1883.8781,309.8780999999999,0.12280461756169286,24.197909813101937,
,,,,,,,,,,,,,1916.0,,,1888.0059,314.0059000000001,0.12371630379264614,25.276641504524797,
,,,,,,,,,,,,,1917.0,,126.0,1890.2075,316.2075,0.12420256000807967,25.86966356911075,100.13033643088926
