glacier,stake,fit_type,CN,q,As,m
All,101,Lliboutry,0.1171848018878169,1.0,22630.635371454522,3.0
Arg,4,Lliboutry,0.1316181875897481,1.0,18749.68202444939,3.0
Arg,5,Lliboutry,0.12357842938831037,1.0,14204.46075027166,3.0
Cor,A4,Lliboutry,0.10706100838773733,1.0,5664.610941147717,3.0
Cor,B4,Lliboutry,0.08735335276167837,1.0,5444.264567823049,3.0
Geb,sup,Tsai,0.06619498276922357,,418787.01791263546,3.7923720053610714
Geb,ss,Tsai,0.05,,181.44986966259054,0.9623575934101242
Gie,5,Lliboutry,0.11213097611428277,1.0,16289.708622309012,3.0
Gie,102,Lliboutry,0.1746376393047213,1.0,23953.297704151526,3.0
GB,inf,Lliboutry,0.12720823587000846,1.0,3582.4062648063837,3.0
GB,sup,Lliboutry,0.14871158271657423,1.0,9272.217490767727,3.0
MDG,ech,Lliboutry,0.13770582261735265,1.0,16522.27243402102,3.0
MDG,trel,Lliboutry,0.1314165348370429,1.0,11073.33936175152,3.0
MDG,tac,Lliboutry,0.10835176352273251,1.0,18430.853854183028,3.0
StSo,B,Lliboutry,18.118412116435774,1.0,10743.897824084992,3.0
StSo,C,Lliboutry,0.12085379422819405,1.0,7529.086366984753,3.0
