date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
1932.0,161.82576197916666,23.904053998270978,40.50251270313512,0.1160550718751951,0.09734253821202277,-0.08295762704700799,16.59845870486414,0.03896248067595066,0.08342297194618069,0.1112180308445584,0.056966666666666665,0.035931250000000005,-0.004536255837673611,1.4662895833333334,-0.07273710522214198,0.01438491116501478,,,,,,
1956.0,151.67845104166665,19.913254895175466,32.18557405662752,0.10158141230727141,0.09136642716293454,-0.05580765980062997,12.272319161452057,0.05664659939552544,0.07992268884731889,0.1112180308445584,0.05901302083333334,0.0315640625,-0.004478826669379341,1.3775812499999998,-0.0557581649904569,0.03555876736230457,,,,,,
1967.0,155.44267031249998,21.079288411779018,34.579077610919335,0.10348911103280493,0.0931157627672923,-0.03718296515880895,13.499789199140316,0.05543842991127928,0.0783309185258876,0.1112180308445584,0.0590375,0.0259625,-0.0041594778125,1.4119098958333332,-0.03866908606663182,0.05593279760848335,44.49,2887.96,186.17000000000007,0.09262633685370475,13.488271239947288,32.06172876005271
1968.0,,,,,,,,,,,,,,,,,44.49,,,,,
1969.0,,,,,,,,,,,,,,,,,47.65,,,,,
1970.0,,,,,,,,,,,,,,,,,48.84,,,,,
1971.0,,,,,,,,,,,,,,,,,45.55,2887.96,186.17000000000007,0.09262633685370475,13.488271239947288,32.06172876005271
1972.0,,,,,,,,,,,,,,,,,45.38,2887.82,186.0300000000002,0.09251613347999502,13.431520534093924,31.94847946590608
1973.0,,,,,,,,,,,,,,,,,49.67,2890.08,188.28999999999996,0.09429513079845347,14.363416497848831,35.30658350215117
1974.0,,,,,,,,,,,,,,,,,,2889.37,187.57999999999993,0.0937362422603536,14.067010522651248,
1975.0,,,,,,,,,,,,,,,,,47.06,2889.52,187.73000000000002,0.09385431730361421,14.129351814998774,32.93064818500123
1976.0,,,,,,,,,,,,,,,,,48.13,2891.21,189.42000000000007,0.09518462945768288,14.84212577483386,33.28787422516614
1977.0,,,,,,,,,,,,,,,,,,2889.3,187.51000000000022,0.09368114057349891,14.037969053888382,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,58.03,2890.36,188.57000000000016,0.0945155375458733,14.48123472039368,43.54876527960632
1980.0,,,,,,,,,,,,,,,,,65.41,2888.53,186.74000000000024,0.0930750220180949,13.720652992785428,51.689347007214565
1980.0,,,,,,,,,,,,,,,,,65.41,2889.94,188.1500000000001,0.09418492742474374,14.30470414914759,51.10529585085241
1981.0,,,,,,,,,,,,,,,,,67.24,2893.4,191.61000000000013,0.09690852508928668,15.794592994152229,51.44540700584777
1982.0,163.57615260416665,25.73182428518878,43.481413344547455,0.1137098579986579,0.09967975444285689,-0.062271273867889325,17.749589059358676,0.07326594485752082,0.07944958068439313,0.1112180308445584,0.057461458333333326,0.0302015625,-0.004213953571234809,1.4842192708333333,-0.05581052688205387,0.03740848057496756,66.89,2894.11,192.32000000000016,0.09746741362738653,16.11047875134478,50.77952124865522
1983.0,,,,,,,,,,,,,,,,,61.94,2894.75,192.96000000000004,0.09797120047863137,16.398234913189604,45.54176508681039
1984.0,,,,,,,,,,,,,,,,,,2896.16,194.3699999999999,0.09908110588528024,17.04237798407781,
1985.0,,,,,,,,,,,,,,,,,,2894.53,192.74000000000024,0.0977980237485161,16.298995130918936,
1986.0,,,,,,,,,,,,,,,,,59.17,2893.19,191.4000000000001,0.0967432200287219,15.701832334444006,43.468167665555995
1987.0,,,,,,,,,,,,,,,,,55.13,2893.33,191.53999999999996,0.09685342340243164,15.763638863721038,39.36636113627897
1988.0,,,,,,,,,,,,,,,,,51.94,2891.78,189.99000000000024,0.09563331462207303,15.086872122606689,36.853127877393305
1989.0,,,,,,,,,,,,,,,,,50.38,2890.29,188.5,0.09446043585901825,14.451730913158368,35.92826908684164
1990.0,,,,,,,,,,,,,,,,,46.9,2888.95,187.15999999999985,0.09340563213922407,13.893248822454002,33.00675117754599
1991.0,151.43942343749998,19.09374415944961,30.722740184932288,0.1085076695874348,0.09013357301196973,-0.053484661054764106,11.628996025482678,0.05497053333903582,0.08400811702834621,0.1112180308445584,0.06073229166666667,0.03252447916666667,-0.004746252996148004,1.3728541666666665,-0.05408068870167876,0.03664891195720562,41.16,2886.83,185.03999999999996,0.09173683819447534,13.033853232208372,28.126146767791624
1991.0,151.43942343749998,19.09374415944961,30.722740184932288,0.1085076695874348,0.09013357301196973,-0.053484661054764106,11.628996025482678,0.05497053333903582,0.08400811702834621,0.1112180308445584,0.06073229166666667,0.03252447916666667,-0.004746252996148004,1.3728541666666665,-0.05408068870167876,0.03664891195720562,41.16,2886.83,185.03999999999996,0.09173683819447534,13.033853232208372,28.126146767791624
1992.0,,,,,,,,,,,,,,,,,38.18,,,,,
1993.0,,,,,,,,,,,,,,,,,,2884.78,182.99000000000024,0.09012314593658163,12.230454642895715,
1993.0,,,,,,,,,,,,,,,,,,2882.23,180.44000000000005,0.08811587020115247,11.268093793055943,
1994.0,,,,,,,,,,,,,,,,,36.83,2882.94,181.1500000000001,0.08867475873925235,11.531984028769074,25.298015971230924
1995.0,,,,,,,,,,,,,,,,,35.93,,,,,
1996.0,,,,,,,,,,,,,,,,,38.38,2881.39,179.5999999999999,0.0874546499588934,10.959882907593698,27.420117092406304
1997.0,,,,,,,,,,,,,,,,,36.36,2881.74,179.94999999999982,0.08773015839316789,11.087779919838592,25.272220080161407
1998.0,,,,,,,,,,,,,,,,,33.66,2882.38,180.59000000000015,0.08823394524441308,11.32358641846169,22.336413581538306
1999.0,,,,,,,,,,,,,,,,,30.8,2881.1,179.30999999999995,0.08722637154192306,10.854476012174665,19.945523987825336
2000.0,,,,,,,,,,,,,,,,,29.99,2878.91,177.1199999999999,0.08550247591031929,10.074830244123003,19.915169755876995
2001.0,,,,,,,,,,,,,,,,,30.59,2877.57,175.7800000000002,0.08444767219052546,9.611831194960427,20.978168805039573
2002.0,,,,,,,,,,,,,,,,,29.51,2874.88,173.09000000000015,0.08233019308138659,8.713817335621727,20.796182664378275
2003.0,,,,,,,,,,,,,,,,,29.68,2876.86,175.07000000000016,0.08388878365242558,9.370763711700167,20.309236288299832
2003.0,,,,,,,,,,,,,,,,,29.68,2876.3,174.51000000000022,0.08344797015758632,9.182683571602482,20.497316428397518
2004.0,141.982346875,14.27853939676725,22.297550275755512,0.10773724920071784,0.08161054388299019,-0.025620179033281662,8.019010878988261,0.06483266790695603,0.08994947924474617,0.1112180308445584,0.0637703125,0.0276765625,-0.004832644868164062,1.28584375,-0.03283046910609036,0.05599036484970853,25.14,2874.32,172.5300000000002,0.0818893795865473,8.532056701663553,16.607943298336448
2005.0,,,,,,,,,,,,,,,,,27.75,2873.33,171.53999999999996,0.08111008430102762,8.215031872983985,19.534968127016015
2006.0,,,,,,,,,,,,,,,,,20.71,2871.28,169.49000000000024,0.07949639204313394,7.575795655561778,13.134204344438224
2007.0,,,,,,,,,,,,,,,,,19.49,2869.02,167.23000000000002,0.07771739472467509,6.89745350294882,12.592546497051178
2008.0,133.66451145833332,11.595886112555517,17.603316123167673,0.10232904678812238,0.07598981606974395,-0.0206470735419665,6.007430010612156,0.07042258580731925,0.09280104382194948,0.1112180308445584,0.0645671875,0.0274546875,-0.0049226815673828125,1.2104890625,-0.03033878182433261,0.05534274252777745,18.18,2866.97,165.17999999999984,0.07610370246678105,6.305473981506741,11.87452601849326
2009.0,,,,,,,,,,,,,,,,,17.32,2864.63,162.84000000000015,0.07426173179191703,5.6561626308005435,11.663837369199456
2010.0,,,,,,,,,,,,,,,,,15.72,2864.92,163.1300000000001,0.07449001020888735,5.735129569685927,9.984870430314075
2011.0,,,,,,,,,,,,,,,,,14.85,2863.08,161.28999999999996,0.07304162301155806,5.241195802738269,9.60880419726173
2012.0,124.73048541666667,9.075254379342445,13.384681063772113,0.09933327810771084,0.06979781760235568,-0.018791874502128405,4.309426684429669,0.07799367004838821,0.10011372347758889,0.1112180308445584,0.06568385416666667,0.028606770833333333,-0.005132716035698785,1.1284364583333333,-0.031210031145798522,0.05100594310022727,13.55,2863.5,161.71000000000004,0.07337223313268762,5.352464154740839,8.19753584525916
2013.0,,,,,,,,,,,,,,,,,12.64,2860.39,158.5999999999999,0.07092414390241919,4.548888288704457,8.091111711295543
2014.0,,,,,,,,,,,,,,,,,12.32,2859.9,158.11000000000013,0.07053843209443494,4.426512215780975,7.893487784219025
2014.0,,,,,,,,,,,,,,,,,12.52,2859.9,158.11000000000013,0.07053843209443494,4.426512215780975,8.093487784219025
2015.0,,,,,,,,,,,,,,,,,14.9,2859.19,157.4000000000001,0.0699795435563351,4.251199265686405,10.648800734313596
2016.0,,,,,,,,,,,,,,,,,11.84,2857.92,156.1300000000001,0.06897984152339595,3.9434746640618963,7.896525335938104
2017.0,118.58100885416667,7.970120368351143,11.520107912753616,0.10057162017553876,0.06663426874616708,-0.02342088966390006,3.549987544402473,0.08533661678074135,0.10762900466530963,0.1112180308445584,0.06717708333333333,0.03263802083333334,-0.005578000929090711,1.0723484375,-0.038947720055672146,0.04321337908226702,11.25,2853.82,152.0300000000002,0.0657524570076082,3.000057902899509,8.24994209710049
2017.0,118.58100885416667,7.970120368351143,11.520107912753616,0.10057162017553876,0.06663426874616708,-0.02342088966390006,3.549987544402473,0.08533661678074135,0.10762900466530963,0.1112180308445584,0.06717708333333333,0.03263802083333334,-0.005578000929090711,1.0723484375,-0.038947720055672146,0.04321337908226702,11.25,2853.82,152.0300000000002,0.0657524570076082,3.000057902899509,8.24994209710049
2018.0,,,,,,,,,,,,,,,,,10.37,2851.7,149.90999999999985,0.06408366306285909,2.541247468175401,7.828752531824598
2019.0,,,,,,,,,,,,,,,,,10.14,2850.0,148.21000000000004,0.0627454792392399,2.187127476776329,7.952872523223672
2020.0,113.09124583333333,6.886690411887282,9.77626712312036,0.09869897846760829,0.06333901807458037,-0.03058009442756774,2.8895767112330786,0.08488148444655629,0.1133559411304949,0.1112180308445584,0.06780677083333332,0.03802291666666666,-0.006043500362684462,1.0214947916666668,-0.050731637548352936,0.032758923647012626,9.6,2848.23,146.44000000000005,0.061352193728765665,1.8311501493362403,7.768849850663759
2020.0,113.09124583333333,6.886690411887282,9.77626712312036,0.09869897846760829,0.06333901807458037,-0.03058009442756774,2.8895767112330786,0.08488148444655629,0.1133559411304949,0.1112180308445584,0.06780677083333332,0.03802291666666666,-0.006043500362684462,1.0214947916666668,-0.050731637548352936,0.032758923647012626,9.6,2848.23,146.44000000000005,0.061352193728765665,1.8311501493362403,7.768849850663759
2021.0,,,,,,,,,,,,,,,,,8.98,2846.39,144.5999999999999,0.05990380653143638,1.474528839766199,7.505471160233801
2021.0,,,,,,,,,,,,,,,,,8.59,2846.39,144.5999999999999,0.05990380653143638,1.474528839766199,7.115471160233801
2022.0,,,,,,,,,,,,,,,,,7.81,,,,,
