date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
1907.0,53.62168083941606,0.33192914312973415,0.7717716653526369,0.06619460595093848,0.055252021281768614,0.014649117153660038,0.4398425222229027,0.14806133691802142,0.14336793767656064,0.1402436077786255,0.0017308394160583944,0.13939981751824818,-0.01943530492920507,0.47242682481751824,0.025431308994772344,0.06990113843542865,8.9,2733.8,94.22000000000025,0.0605696431459674,0.5819312844325785,8.344620277784434
1908.0,,,,,,,,,,,,,,,,,8.9,2731.988,92.4079999999999,0.059783538199021574,0.5553797222155661,8.344620277784434
1909.0,,,,,,,,,,,,,,,,,6.5,2730.609,91.029,0.059185282833768824,0.536192585584981,5.963807414415019
1910.0,,,,,,,,,,,,,,,,,5.5,,,,,
1911.0,,,,,,,,,,,,,,,,,7.8,2730.583,91.00300000000016,0.059174003182212276,0.5358390955945794,7.26416090440542
1912.0,,,,,,,,,,,,,,,,,,2737.029,97.44900000000007,0.06197048910274851,0.6331946905134941,
1913.0,,,,,,,,,,,,,,,,,23.6,2733.482,93.90200000000004,0.06043168433077485,0.5771592049971419,23.02284079500286
1916.0,,,,,,,,,,,,,,,,,,2736.653,97.07299999999987,0.061807367987929684,0.6269565351384336,
1917.0,,,,,,,,,,,,,,,,,19.1,2738.2,98.61999999999989,0.06247850725554831,0.6530904136547093,18.446909586345292
1918.0,,,,,,,,,,,,,,,,,23.3,2737.241,97.66100000000006,0.06206246164621014,0.6367439316135171,22.663256068386485
1919.0,,,,,,,,,,,,,,,,,,2739.805,100.22499999999991,0.06317480882279324,0.6815355419676306,
1920.0,,,,,,,,,,,,,,,,,26.9,,,,,
1921.0,,,,,,,,,,,,,,,,,,2738.712,99.13200000000006,0.06270062962466327,0.6620151638151254,
1922.0,,,,,,,,,,,,,,,,,36.9,2739.274,99.69399999999996,0.06294444363138699,0.6719719654105871,36.228028034589414
1923.0,,,,,,,,,,,,,,,,,,2738.718,99.13799999999992,0.06270323262117627,0.6621205740575408,
1924.0,,,,,,,,,,,,,,,,,,2738.698,99.11799999999994,0.06269455596613273,0.6617692810053036,
1925.0,,,,,,,,,,,,,,,,,,2739.257,99.67700000000013,0.06293706847460005,0.6716682999288006,
1926.0,,,,,,,,,,,,,,,,,32.2,2740.885,101.30500000000029,0.06364334819514511,0.7014613473411945,31.49853865265881
1927.0,,,,,,,,,,,,,,,,,,2738.406,98.82600000000002,0.06256787680249694,0.6566645675999536,
1928.0,,,,,,,,,,,,,,,,,31.1,2739.985,100.4050000000002,0.0632528987181853,0.6848121237757819,30.41518787622422
1929.0,,,,,,,,,,,,,,,,,30.3,2739.237,99.65700000000015,0.0629283918195565,0.6713112452841454,29.628688754715856
1930.0,,,,,,,,,,,,,,,,,,2737.437,97.85699999999997,0.062147492865636894,0.6400459332761159,
1931.0,,,,,,,,,,,,,,,,,,2738.887,99.30700000000024,0.06277655035629441,0.6650975000905616,
1932.0,,,,,,,,,,,,,,,,,,2739.464,99.88400000000001,0.06302687185430074,0.6753764591091178,
1934.0,,,,,,,,,,,,,,,,,,2735.104,95.52399999999989,0.061135361054806714,0.6020112424009134,
1935.0,,,,,,,,,,,,,,,,,,2734.271,94.69100000000026,0.06077397837224301,0.5890886943254606,
1936.0,,,,,,,,,,,,,,,,,8.1,,,,,
1937.0,,,,,,,,,,,,,,,,,,2733.116,93.53600000000006,0.06027290154347789,0.5717264989401138,
1938.0,,,,,,,,,,,,,,,,,7.8,,,,,
1940.0,,,,,,,,,,,,,,,,,9.6,,,,,
1942.0,,,,,,,,,,,,,,,,,10.8,2729.906,90.32600000000002,0.058880298408988035,0.5267408624097942,10.273259137590207
1943.0,,,,,,,,,,,,,,,,,,2727.863,88.2829999999999,0.057993978096289325,0.5004989342026138,
1944.0,,,,,,,,,,,,,,,,,9.9,,,,,
1945.0,,,,,,,,,,,,,,,,,9.8,2727.126,87.54600000000028,0.057674243357934654,0.4914685302471762,9.308531469752825
1946.0,,,,,,,,,,,,,,,,,,2725.78,86.20000000000027,0.05709030447350372,0.47555464911184864,
1947.0,,,,,,,,,,,,,,,,,,2723.188,83.60800000000017,0.055965809979859546,0.44694113766012344,
1948.0,,,,,,,,,,,,,,,,,8.0,,,,,
1949.0,,,,,,,,,,,,,,,,,7.1,2719.604,80.02399999999989,0.0544109533960552,0.4115298634968749,6.688470136503125
1950.0,,,,,,,,,,,,,,,,,,2717.285,77.70499999999993,0.053404895243755565,0.39101399968290296,
1951.0,,,,,,,,,,,,,,,,,5.7,,,,,
1953.0,55.38218185185185,0.3928677021520616,0.936259742068406,0.07513171479089739,0.058341517297250824,0.020764053391885605,0.5433920399163443,0.11067104120000057,0.1677680713223397,0.1402436077786255,0.002255370370370371,0.14473388888888888,-0.020952985288408776,0.4879400000000001,0.03264304030853204,0.07910557068913643,5.6,2712.59,73.01000000000022,0.05136805047228225,0.3547490721434761,6.688470136503125
1955.0,,,,,,,,,,,,,,,,,,2712.59,73.01000000000022,0.05136805047228225,0.3547490721434761,
1958.0,,,,,,,,,,,,,,,,,,2712.117,72.53700000000026,0.051162847580502296,0.35146179709230785,
1965.0,,,,,,,,,,,,,,,,,,2712.277,72.69700000000012,0.05123226082085064,0.352566602897521,
1983.0,,,,,,,,,,,,,,,,,,2724.4,84.82000000000016,0.0564916152754987,0.45999468427097,
1984.0,,,,,,,,,,,,,,,,,12.8,2724.1,84.51999999999998,0.05636146544984537,0.456710996726529,12.343289003273473
1985.0,,,,,,,,,,,,,,,,,11.0,2723.6,84.01999999999998,0.0561445490737566,0.45131535211394447,10.548684647886056
1986.0,58.0589168297456,0.43767289015240185,1.0701335480695082,0.08277888745593755,0.06012120008767286,0.02290563243965571,0.6324606579171064,0.13359111617899402,0.17632465474331507,0.1402436077786255,-0.009781213307240706,0.14263776908023484,-0.02044120530194814,0.5118021526418787,0.036596216240197516,0.08302683252732856,10.8,2723.6,84.01999999999998,0.0561445490737566,0.45131535211394447,10.348684647886056
1988.0,,,,,,,,,,,,,,,,,8.4,2720.5,80.92000000000007,0.05479966754200634,0.4199497528341081,7.9800502471658925
1989.0,,,,,,,,,,,,,,,,,7.4,2719.2,79.61999999999989,0.054235684964175496,0.4078247416875742,6.992175258312426
1990.0,,,,,,,,,,,,,,,,,6.7,2718.5,78.92000000000007,0.053932002037651305,0.40153716044698423,6.298462839553016
1991.0,,,,,,,,,,,,,,,,,6.1,2716.4,76.82000000000016,0.05302095325807857,0.3836533810933507,5.716346618906649
1992.0,,,,,,,,,,,,,,,,,5.4,2715.8,76.22000000000025,0.052760653606772095,0.3788057078528645,5.021194292147136
1993.0,,,,,,,,,,,,,,,,,5.0,2711.6,72.01999999999998,0.050938556047626406,0.3479415429372416,4.652058457062759
1994.0,,,,,,,,,,,,,,,,,5.5,2711.7,72.11999999999989,0.050981939322844116,0.3486165593050774,5.151383440694922
1995.0,,,,,,,,,,,,,,,,,5.5,2710.4,70.82000000000016,0.05041795674501347,0.3400579904711479,5.159942009528852
1996.0,,,,,,,,,,,,,,,,,5.5,2708.6,69.01999999999998,0.049637057791093855,0.3289611525591107,5.171038847440889
1997.0,,,,,,,,,,,,,,,,,5.0,2707.6,68.01999999999998,0.04920322503891634,0.32315984732669345,4.676840152673306
1998.0,45.02154626168224,0.18959782490516927,0.40540511724293615,0.06272874881228144,0.04582828790761948,0.013533472162668782,0.21580729233776688,0.13035213319010583,0.1683480335111909,0.1402436077786255,0.008431308411214955,0.13947943925233644,-0.019525600935671236,0.39560981308411214,0.028586219166140826,0.05936176007028826,5.2,2705.2,65.61999999999989,0.04816202643369026,0.31024404980814735,4.889755950191853
1999.0,,,,,,,,,,,,,,,,,4.9,2704.2,64.61999999999989,0.04772819368151274,0.30526416488893404,4.5947358351110665
2000.0,,,,,,,,,,,,,,,,,4.5,2702.9,63.320000000000164,0.04716421110368209,0.2991270003082644,4.200872999691736
2001.0,,,,,,,,,,,,,,,,,5.3,2702.0,62.42000000000007,0.04677376162672228,0.29509383829513725,5.004906161704863
2002.0,,,,,,,,,,,,,,,,,5.6,2699.8,60.220000000000255,0.04581932957193183,0.28594387441233937,5.31405612558766
2003.0,39.58751399491094,0.1383042771654439,0.28036404362145906,0.05830816471933989,0.041262457142001635,0.009941116955881051,0.14205976645601515,0.1428027608835483,0.1761429672953411,0.1402436077786255,0.01668676844783715,0.1426437659033079,-0.020625692192309437,0.3462824427480916,0.022790061356121435,0.05120357409788269,4.9,2696.9,57.320000000000164,0.04456121459061699,0.27532252035198906,4.624677479648011
2004.0,,,,,,,,,,,,,,,,,4.4,2695.4,55.820000000000164,0.04391046546235071,0.2704249954373921,4.129575004562608
2005.0,,,,,,,,,,,,,,,,,4.0,2692.8,53.220000000000255,0.04278250030668921,0.2628228133156401,3.73717718668436
2006.0,,,,,,,,,,,,,,,,,4.1,2690.2,50.61999999999989,0.04165453515102751,0.2562568248761635,3.8437431751238362
2007.0,,,,,,,,,,,,,,,,,3.5,2687.9,48.320000000000164,0.040656719821019344,0.25123295105581867,3.248767048944181
2008.0,,,,,,,,,,,,,,,,,2.7,2685.5,45.92000000000007,0.03961552121579326,0.2467023148477752,2.453297685152225
2009.0,,,,,,,,,,,,,,,,,2.5,2682.7,43.11999999999989,0.03840078950969614,0.24224263911459742,2.2577573608854027
2010.0,,,,,,,,,,,,,,,,,,2681.0,41.42000000000007,0.03766327383099444,0.2399264619725538,
2011.0,,,,,,,,,,,,,,,,,2.5,2678.0,38.42000000000007,0.03636177557446188,0.23648013780538443,2.2635198621946158
2012.0,,,,,,,,,,,,,,,,,2.2,2675.9,36.320000000000164,0.03545072679488914,0.2345023402239426,1.9654976597760576
2013.0,,,,,,,,,,,,,,,,,2.0,2673.5,33.92000000000007,0.03440952818966306,0.23262547956536786,1.767374520434632
2014.0,,,,,,,,,,,,,,,,,1.4,2671.5,31.920000000000073,0.033541862685308024,0.23133764356617365,1.1686623564338263
2015.0,,,,,,,,,,,,,,,,,1.0,2668.1,28.519999999999982,0.03206683132790443,0.22964024045994824,0.7703597595400518
2016.0,,,,,,,,,,,,,,,,,,2665.8,26.220000000000255,0.03106901599789626,0.22878837935453433,
2017.0,,,,,,,,,,,,,,,,,0.8,2663.0,23.420000000000073,0.029854284291799135,0.2280139291990985,0.5719860708009016
2018.0,,,,,,,,,,,,,,,,,0.4,2660.5,20.920000000000073,0.028769702411355343,0.22752113448261607,0.17247886551738395
2019.0,,,,,,,,,,,,,,,,,0.3,2657.8,18.220000000000255,0.027598353980476126,0.22715448714692446,0.07284551285307553
2020.0,,,,,,,,,,,,,,,,,,2655.8,16.220000000000255,0.026730688476121093,0.22696971262039198,
2021.0,,,,,,,,,,,,,,,,,0.4,2653.1,13.519999999999982,0.02555934004524168,0.22680830943958777,0.17319169056041225
