date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
1934.0,70.32459999999999,50.97474001883325,61.483426888023715,0.1955789833612496,0.13335422162551472,0.08094725473803069,10.508686869190463,0.34291778586718064,0.31126249121728816,0.2947963505387908,-0.2705,-0.14131428571428573,-0.09313997734693878,0.7239857142857142,0.11953833418965656,0.2143014763635454,,,,,,
1966.0,,,,,,,,,,,,,,,,,85.31,2873.98,109.96000000000004,0.1259818011128817,7.5637883958457435,77.74621160415425
1967.0,,,,,,,,,,,,,,,,,83.64,2873.72,109.69999999999982,0.12564372954673167,7.499856418591804,76.1401435814082
1968.0,,,,,,,,,,,,,,,,,88.8,2873.72,109.69999999999982,0.12564372954673167,7.499856418591804,81.3001435814082
1969.0,,,,,,,,,,,,,,,,,93.46,2875.03,111.01000000000022,0.12734709013002513,7.82662769115679,85.6333723088432
1970.0,,,,,,,,,,,,,,,,,94.45,2876.09,112.07000000000016,0.12872538189971247,8.099644144296109,86.3503558557039
1971.0,71.82254285714286,48.728628773415906,57.6632893355615,0.18442701637170716,0.13138275193423776,0.06527271020502863,8.934660562145595,0.3364534455483778,0.2891696614818851,0.2947963505387908,-0.2676,-0.09784285714285715,-0.08118298469387754,0.7166285714285714,0.09787009159085922,0.19665546213926638,89.13,2872.93,108.90999999999985,0.12461651209573825,7.3083717191107995,81.8216282808892
1972.0,,,,,,,,,,,,,,,,,88.3,2872.53,108.51000000000022,0.12409640199396989,7.212993067691575,81.08700693230843
1973.0,,,,,,,,,,,,,,,,,81.81,2875.56,111.53999999999996,0.1280362360148685,7.9621629752997665,73.84783702470024
1974.0,,,,,,,,,,,,,,,,,84.31,2873.98,109.96000000000004,0.1259818011128817,7.5637883958457435,76.74621160415425
1975.0,,,,,,,,,,,,,,,,,85.31,2875.82,111.80000000000018,0.12837430758101853,8.029362269863084,77.28063773013692
1976.0,,,,,,,,,,,,,,,,,84.14,2872.79,108.76999999999998,0.12443447356011932,7.274869386677772,76.86513061332222
1977.0,,,,,,,,,,,,,,,,,89.96,2876.61,112.59000000000015,0.12940152503201194,8.236440389191804,81.7235596108082
1978.0,,,,,,,,,,,,,,,,,100.28,2878.32,114.30000000000018,0.13162499571707376,8.699842583312774,91.58015741668723
1979.0,,,,,,,,,,,,,,,,,107.26,2876.22,112.19999999999982,0.1288944176827869,8.133665239434801,99.1263347605652
1980.0,,,,,,,,,,,,,,,,,111.92,2879.25,115.23000000000002,0.13283425170368607,8.96075796954861,102.95924203045139
1981.0,,,,,,,,,,,,,,,,,117.07,2878.98,114.96000000000004,0.13248317738499213,8.884354168951388,108.1856458310486
1982.0,,,,,,,,,,,,,,,,,106.26,2878.98,114.96000000000004,0.13248317738499213,8.884354168951388,97.37564583104862
