date,thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slope_dem,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
1922.0,,,,,,,,,,,,,,,,,,2087.6334,486.91340000000014,0.12903198094757623,47.30738208565687,
1923.0,,,,,,,,,,,,,,,,,,2087.6334,486.91340000000014,0.12903198094757623,47.30738208565687,
1924.0,,,,,,,,,,,,,,,,,141.0,2086.8078,486.0878,0.128881598361005,47.029846530953634,93.97015346904637
1925.0,,,,,,,,,,,,,,,,,131.0,2087.6334,486.91340000000014,0.12903198094757623,47.30738208565687,83.69261791434313
1926.0,,,,,,,,,,,,,,,,,132.0,2086.8078,486.0878,0.128881598361005,47.029846530953634,84.97015346904637
1927.0,,,,,,,,,,,,,,,,,132.0,2087.3582,486.6382000000001,0.12898185341871915,47.214713210353814,84.7852867896462
1928.0,,,,,,,,,,,,,,,,,132.0,2087.083,486.36300000000006,0.12893172588986207,47.12220141799091,84.87779858200909
1929.0,,,,,,,,,,,,,,,,,139.0,2083.7807,483.06069999999977,0.12833021375852213,46.0242807360127,92.9757192639873
1930.0,,,,,,,,,,,,,,,,,125.0,,,,,
1931.0,,,,,,,,,,,,,,,,,,2082.1296,481.4096000000002,0.12802946680032481,45.4837134881864,
1932.0,,,,,,,,,,,,,,,,,,2085.9822,485.2621999999999,0.12873121577443372,46.75372152715779,
1933.0,,,,,,,,,,,,,,,,,110.0,2081.304,480.58400000000006,0.12787908421375355,45.21549108106698,64.78450891893303
1934.0,,,,,,,,,,,,,,,,,144.0,2078.5521,477.83209999999985,0.1273778271401278,44.33137959286967,99.66862040713033
1935.0,,,,,,,,,,,,,,,,,114.0,,,,,
1936.0,,,,,,,,,,,,,,,,,,2078.2769,477.5568999999998,0.12732769961127072,44.243801057308026,
1937.0,,,,,,,,,,,,,,,,,,2077.1761,476.4561000000001,0.12712718949584245,43.894997921581805,
1938.0,,,,,,,,,,,,,,,,,104.0,2078.0017,477.2816999999998,0.12727757208241364,44.15637379664721,59.84362620335279
1941.0,,,,,,,,,,,,,,,,,,2077.4513,476.73130000000015,0.12717731702469953,43.981972402932506,
1942.0,,,,,,,,,,,,,,,,,,2078.8273,478.1072999999999,0.12742795466898488,44.41910957773167,
1942.0,,,,,,,,,,,,,,,,,,2077.1761,476.4561000000001,0.12712718949584245,43.894997921581805,
1944.0,,,,,,,,,,,,,,,,,,2073.5986,472.8785999999998,0.12647554983564546,42.777999962772824,
1947.0,,,,,,,,,,,,,,,,,,2063.4166,462.6966,0.12462090412771386,39.734809491834625,
1949.0,,,,,,,,,,,,,,,,,83.0,2059.0135,458.2935,0.12381888188094567,38.479525865246224,44.520474134753776
1950.0,,,,,,,,,,,,,,,,,103.0,2051.5834,450.86339999999996,0.12246549324663976,36.44178626606849,66.55821373393151
1951.0,,,,,,,,,,,,,,,,,,2049.1067,448.3866999999998,0.1220143637018711,35.784542181278795,
1952.0,,,,,,,,,,,,,,,,,89.0,,,,,
1953.0,,,,,,,,,,,,,,,,,,2044.9788,444.25880000000006,0.12126246898396004,34.71306230697024,
1955.0,,,,,,,,,,,,,,,,,,2042.5021,441.7820999999999,0.12081133943919137,34.08435774827399,
1956.0,,,,,,,,,,,,,,,,,89.0,,,,,
1958.0,321.0113952243126,15.384758577933011,48.94179101241919,0.2937720633887917,0.11965157510528063,0.10078425612361296,33.557032434486175,0.06478617794820125,0.112215039114017,0.10236629069213272,-0.03629392185238785,0.07280130246020261,-0.006617278403329138,2.8725506512301013,0.03231229342460786,0.2204358312288936,87.0,2040.5758,439.85580000000004,0.12046046495213693,33.602626015230804,53.397373984769196
1959.0,,,,,,,,,,,,,,,,,87.0,2040.5758,439.85580000000004,0.12046046495213693,33.602626015230804,53.397373984769196
1962.0,,,,,,,,,,,,,,,,,103.0,2036.25,435.53,0.1196725228579147,32.54365508851877,70.45634491148124
1964.0,,,,,,,,,,,,,,,,,,2035.05,434.3299999999999,0.11945394351696811,32.255425436491734,
1965.0,,,,,,,,,,,,,,,,,,2036.6,435.8799999999999,0.11973627516569076,32.62817212024167,
1966.0,,,,,,,,,,,,,,,,,,2037.2,436.48,0.11984556483616407,32.77353288212171,
1967.0,,,,,,,,,,,,,,,,,,2036.8,436.0799999999999,0.11977270505584853,32.67655906601609,
1968.0,,,,,,,,,,,,,,,,,100.0,2037.9,437.18000000000006,0.11997306945171624,32.94387976025528,67.05612023974473
1969.0,,,,,,,,,,,,,,,,,103.0,2037.9,437.18000000000006,0.11997306945171624,32.94387976025528,70.05612023974473
1970.0,,,,,,,,,,,,,,,,,108.0,2039.9,439.18000000000006,0.12033736835329385,33.43511374074623,74.56488625925377
1971.0,,,,,,,,,,,,,,,,,113.0,2040.2,439.48,0.12039201318853049,33.509380141520126,79.49061985847987
1972.0,,,,,,,,,,,,,,,,,109.0,2037.4,436.68000000000006,0.11988199472632184,32.82211987472716,76.17788012527285
1973.0,,,,,,,,,,,,,,,,,109.0,2040.4,439.68000000000006,0.12042844307868826,33.558975642602654,75.44102435739734
1974.0,,,,,,,,,,,,,,,,,110.0,2038.5,437.78,0.12008235912218951,33.09054410802124,76.90945589197875
1975.0,,,,,,,,,,,,,,,,,,2039.4,438.68000000000006,0.12024629362789944,33.31167416210589,
1976.0,,,,,,,,,,,,,,,,,,2039.9,439.18000000000006,0.12033736835329385,33.43511374074623,
1977.0,,,,,,,,,,,,,,,,,,2037.4,436.68000000000006,0.11988199472632184,32.82211987472716,
1978.0,,,,,,,,,,,,,,,,,,2037.44,436.72,0.11988928070435338,32.831845287841766,
1979.0,320.22143644189384,15.539062068983242,48.28189772198366,0.2919144532449254,0.1199573647573922,0.08634496702727261,32.74283565300042,0.07878955084514247,0.1209522862430261,0.10236629069213272,-0.02494447632711621,0.07931635581061693,-0.006913311198310447,2.8622700143472026,0.029054935909960545,0.2063023317846648,94.6,2037.53,436.80999999999995,0.11990567415492435,32.85373724005764,61.746262759942354
1979.0,320.22143644189384,15.539062068983242,48.28189772198366,0.2919144532449254,0.1199573647573922,0.08634496702727261,32.74283565300042,0.07878955084514247,0.1209522862430261,0.10236629069213272,-0.02494447632711621,0.07931635581061693,-0.006913311198310447,2.8622700143472026,0.029054935909960545,0.2063023317846648,94.6,2037.53,436.80999999999995,0.11990567415492435,32.85373724005764,61.746262759942354
1980.0,,,,,,,,,,,,,,,,,103.3,2040.92,440.20000000000005,0.12052316079309842,33.68824105528598,69.61175894471401
1981.0,,,,,,,,,,,,,,,,,114.1,2042.19,441.47,0.12075449059560021,34.005878223922245,80.09412177607774
1982.0,,,,,,,,,,,,,,,,,110.9,2041.2,440.48,0.12057416263931929,33.75803551983554,77.14196448016446
