x,y
2635500.0,1096500.0
2635540.404040404,1096593.1328132527
2635580.8080808083,1096686.1447093554
2635621.212121212,1096778.9147711566
2635661.616161616,1096871.322081508
2635702.02020202,1096963.2457232592
2635742.4242424243,1097054.5647792588
2635782.8282828284,1097145.1583323574
2635823.232323232,1097234.9054654038
2635863.6363636362,1097323.6852612493
2635904.0404040404,1097411.3768027434
2635944.4444444445,1097497.8591727354
2635984.8484848486,1097583.011454075
2636025.2525252528,1097666.7127296126
2636065.6565656564,1097748.8420821966
2636106.0606060605,1097829.2785946787
2636146.4646464647,1097907.901349908
2636186.868686869,1097984.589430734
2636227.272727273,1098059.2219200064
2636267.6767676766,1098131.6779005749
2636308.0808080807,1098201.8364552904
2636348.484848485,1098269.5766670017
2636388.888888889,1098334.777618559
2636429.292929293,1098397.318392812
2636469.696969697,1098457.0780726098
2636510.101010101,1098513.9362855833
2636550.505050505,1098567.838577692
2636590.909090909,1098618.8585181003
2636631.3131313133,1098667.0843850235
2636671.717171717,1098712.6044566738
2636712.121212121,1098755.5070112676
2636752.525252525,1098795.880327017
2636792.9292929294,1098833.8126821371
2636833.3333333335,1098869.3923548413
2636873.737373737,1098902.7076233437
2636914.1414141413,1098933.8467658586
2636954.5454545454,1098962.8980606005
2636994.9494949495,1098989.9497857823
2637035.3535353537,1099015.0902196185
2637075.757575758,1099038.4076403237
2637116.1616161615,1099059.9903261112
2637156.5656565656,1099079.9265551951
2637196.9696969697,1099098.3046057902
2637237.373737374,1099115.2127561094
2637277.777777778,1099130.7392843675
2637318.1818181816,1099144.972468778
2637358.585858586,1099158.0005875556
2637398.98989899,1099169.9119189137
2637439.393939394,1099180.794741067
2637479.797979798,1099190.7373322288
2637520.202020202,1099199.8279706133
2637560.606060606,1099208.154934435
2637601.01010101,1099215.8065019075
2637641.414141414,1099222.8709512448
2637681.8181818184,1099229.4365606615
2637722.222222222,1099235.591608371
2637762.626262626,1099241.4243725871
2637803.0303030303,1099247.0231315247
2637843.4343434344,1099252.4761633973
2637883.8383838385,1099257.871746419
2637924.242424242,1099263.298158804
2637964.6464646463,1099268.8436787657
2638005.0505050505,1099274.5965845191
2638045.4545454546,1099280.6451542776
2638085.8585858587,1099287.0776662552
2638126.262626263,1099293.9823986664
2638166.6666666665,1099301.4476297249
2638207.0707070706,1099309.5616376444
2638247.474747475,1099318.4127006393
2638287.878787879,1099328.089096924
2638328.282828283,1099338.679104712
2638368.6868686867,1099350.2710022174
2638409.090909091,1099362.952819274
2638449.494949495,1099376.7734946036
2638489.898989899,1099391.7006225407
2638530.303030303,1099407.6916472155
2638570.707070707,1099424.704012758
2638611.111111111,1099442.6951632998
2638651.515151515,1099461.6225429706
2638691.9191919193,1099481.443595901
2638732.3232323234,1099502.1157662217
2638772.727272727,1099523.5964980628
2638813.131313131,1099545.8432355553
2638853.5353535353,1099568.8134228294
2638893.9393939395,1099592.4645040156
2638934.3434343436,1099616.7539232448
2638974.7474747472,1099641.6391246466
2639015.1515151514,1099667.0775523519
2639055.5555555555,1099693.0266504919
2639095.9595959596,1099719.443863196
2639136.3636363638,1099746.2866345954
2639176.767676768,1099773.5124088207
2639217.1717171716,1099801.0786300015
2639257.5757575757,1099828.942742269
2639297.97979798,1099857.0621897539
2639338.383838384,1099885.3944165863
2639378.787878788,1099913.8968668962
2639419.1919191917,1099942.5269848148
2639459.595959596,1099971.2422144727
2639500.0,1099999.9999999998
