dist,z_bed,z_surf_1934,z_surf_1983,z_surf_1998,z_surf_2003,z_surf_2008,z_surf_2017
0.0,3099.032525,3317.98,3309.41,3309.33,3307.09,3307.0,3299.2976
118.95032427322968,3117.508215295116,3312.641969696976,3306.213145454557,3304.2825757575856,3302.7578787878874,3299.5470060606167,3293.905447699085
237.6829073862076,3126.431225928158,3305.8811363636332,3301.6485606060587,3296.6699242424197,3295.8233712121173,3292.4138636363605,3286.612546456066
355.980430784027,3150.7376280359526,3294.3669362714736,3290.7936452665735,3286.112510336433,3285.16455847723,3282.020186493075,3274.2990560292883
473.6264328417779,3168.0535273567443,3279.4931597956565,3275.068697500746,3272.4078876965305,3271.151244182334,3267.9251778364064,3258.152154901831
590.4057671768508,3168.281043655383,3255.748355515493,3255.0219643888495,3249.3830455329676,3248.837067716358,3243.925875655288,3235.8383339011048
706.105098373775,3149.7452039202035,3227.2067740341945,3224.4678707298754,3216.550614534706,3217.5818997223087,3211.6318437394752,3204.2875957315155
820.5134503548962,3115.5054097874245,3203.698863636363,3199.9599242424238,3193.3108333333334,3192.2238636363636,3186.9136969696965,3180.1222007132574
933.4228252554792,3074.2529295732047,3167.00871212122,3164.3574242424406,3157.4236363636505,3156.512401515168,3150.278030303047,3143.7312469249723
1044.628914237704,3016.309993831167,3135.362364785637,3134.5962431165526,3125.351952101295,3125.672814576784,3119.9284336032965,3113.2504999327343
1153.9319265064717,2951.482090642857,3115.3821540890717,3113.577880450943,3104.0987339460676,3103.352610845355,3097.4710149549874,3089.726371306807
1261.1375691542662,2882.4902536368327,3098.871180927463,3096.207304408373,3087.1712278119703,3087.647170499707,3082.0279463364377,3073.177108675508
1366.0582188681753,2860.1716393492575,3092.134700322009,3089.74462923278,3081.4574454383055,3081.581547720366,3075.619556370171,3068.5773265026137
1468.5143374930387,2859.794008816346,3090.571994109343,3090.043914707337,3082.294355078535,3080.653151861574,3074.270495202394,3068.1721421741668
1568.3361977247478,2859.277729868931,3088.5923642737007,3087.383273951295,3079.170765524855,3077.848001923463,3071.132019738075,3064.858965935974
1665.36600367736,2878.4770934164953,3081.111335373115,3078.5102682296533,3070.121819818115,3067.658193549327,3062.250663746034,3056.1641578238778
1759.460514586524,2877.935173275146,3067.319759804252,3065.486362349195,3056.7471653345174,3055.416368902296,3050.1491479291076,3041.9365401480945
1850.5001451031203,2835.4058843720413,3055.4105361830916,3052.1089973133658,3043.3238865109347,3041.84246819872,3035.794473490114,3028.77947075754
1938.5170425989575,2805.7361020625935,3047.7240909090797,3043.226590909081,3034.794545454537,3033.529545454536,3026.6888636363533,3020.6872439384338
2023.6825416069557,2801.140912375633,3042.7910548900268,3040.4675558722247,3029.4089322336167,3030.2805918107774,3024.194940102412,3016.548433463763
2106.1744299068114,2808.4431875262485,3038.3056249161255,3038.703292548108,3029.9509030553736,3028.4400914212147,3022.369737088317,3015.0156225068386
2186.170572980414,2818.9010387492704,3032.205837402791,3035.9993181818163,3026.4537654174983,3025.639866363751,3020.4950887270807,3012.5612755931443
2263.8482798018904,2834.4036971582514,3026.688068731548,3032.0842892025285,3022.663409825135,3022.1753598541677,3016.368923490305,3009.4161029635916
2339.3835769169573,2845.682846263075,3024.065683068884,3029.869452333124,3019.820043409608,3020.139266016081,3013.567283949813,3006.43655403503
2412.950398867618,2852.6391297380337,3023.0,3031.2300000000005,3019.4700000000003,3019.17,3011.6000000000004,3003.5744090288968
2484.7197086686947,2879.057032549661,3022.975326856116,3029.1485828030472,3018.2206709453085,3016.758889972405,3009.319919327776,2999.594640995672
2554.858567740203,2905.0517863430277,3022.7620110911166,3024.452849602911,3015.148330375194,3013.5395476663134,3006.682679944033,2996.89121986922
2623.529179873007,2918.4946783082696,3020.337327351592,3019.500574661923,3010.8374774559898,3006.7857343501555,3001.304567316719,2990.5238454501764
2690.887937869776,2930.967442093971,3010.7596215374624,3009.413500786628,3005.744746277044,3002.09925686947,2993.7742180125356,2984.9673518330856
2757.084503877884,2922.971476710951,3002.2756859381275,2989.911070900115,2982.459996437905,2981.5433986324815,2981.11433836335,2970.700336535981
2822.2609547229868,2891.4184823463047,2965.666713225871,2964.419531152506,2958.7257686416974,2959.071976114041,2951.998113392742,2942.995382660805
2886.551021590996,2864.7479362007202,2943.434822883792,2942.5802620620243,2935.004583601837,2935.5312851501712,2925.315598114978,2919.8120067299433
2950.079449333059,2844.912344046179,2922.602587490129,2923.5762283044232,2916.211974135012,2915.703566748001,2909.9890954965667,2901.9484957753575
3012.961494842104,2816.987624206082,2903.271477387214,2904.416705636253,2898.071941998293,2896.0634231328027,2892.0487009626263,2882.45425214538
3075.302577046477,2794.909883162837,2897.1690135760964,2896.651872274091,2890.9499001441322,2889.4999968133006,2883.7466201852103,2873.558492557363
3137.19808372115,2791.4765844647004,2896.3553567598283,2895.063667924913,2888.3131129827093,2887.0648651504653,2880.7459405119926,2870.7779754856
3198.7333333238857,2791.5585223396024,2898.2667631848726,2895.3676003506016,2888.4366944544245,2885.9657994803865,2880.804609913899,2870.0267550541603
3259.9836839503682,2796.0875660740926,2897.6040810629875,2895.676792705244,2887.910026410072,2885.08563207924,2879.576004152524,2868.0410207520054
3321.014776704694,2802.0939290029773,2892.6,2892.45,2884.33,2883.0,2877.31,2864.0910791896404
3381.8828975080482,2786.894919901815,2876.9443181817624,2875.814318181711,2866.7993181817824,2862.232045454495,2855.485909090891,2843.875487597311
3442.6354395893563,2745.7926250657943,2843.0782758034075,2843.293470967462,2841.5766834448086,2835.3441286136904,2820.6387298137124,2807.392088779504
3503.3114485043798,2697.7482149337784,2815.6935428551,2811.496042460187,2808.4697894124547,2803.616260388361,2792.3005009602043,2773.71441768935
3563.9422322280166,2650.085550132656,2797.8305928843156,2791.164920695282,2787.426764620689,2785.894062013413,2776.5529363570627,2759.0470975388866
3624.5520203948795,2612.282879937467,2789.014304341873,2787.4449274136773,2781.201451254389,2776.9455956726133,2774.2427248377435,2753.7321676208994
3685.1586588187015,2574.2240196831203,2782.3553646520304,2780.897514429449,2774.6106421143213,2771.1244966366485,2764.7143257729176,2749.0259811674896
3745.774327732849,2534.760428266195,2777.3360025792817,2775.80736686021,2770.4607656352946,2766.456628304534,2760.445654739031,2745.019515551226
3806.406274585178,2524.03924005156,2771.3653723594534,2770.294466290721,2763.384001558676,2760.8075628833894,2755.52948318597,2739.7167393333384
3867.057554481955,2533.812199907508,2765.82996635153,2762.752796541647,2761.6356069976987,2754.9468714658015,2748.6132526911383,2734.269243794642
3927.7277734573163,2540.7221878844707,2760.420454545465,2760.9400818181853,2756.228863636374,2752.007727272735,2746.4858272727333,2730.2551605599656
3988.4138315238847,2535.23416854448,2756.2160606060597,2754.428712121208,2750.3968712121164,2746.5277272727203,2740.3069696969637,2724.917943719183
4049.111059138501,2523.262572913559,2754.525833333335,2750.669393939397,2746.1040909090943,2741.6167727272746,2735.265424242428,2721.415179989167
4109.8231785422395,2507.4276521212273,2752.765333075794,2749.0433387619096,2743.222521694557,2739.520942173932,2731.8423662434852,2718.1853002175794
4170.5654589688,2493.6028916964606,2751.2049467890147,2747.885643669659,2741.7652855045326,2738.021829959595,2729.902003434824,2715.6595979321914
4231.35884189223,2491.9738182167494,2749.4064109639085,2747.877555032067,2740.676174097057,2736.758752459989,2728.3287688013324,2713.6278333313066
4292.231989246697,2501.678489359101,2747.584243438044,2746.706116233907,2738.3937658912355,2734.5353846219186,2725.919774265616,2710.658083875328
4353.223684509416,2513.336143617754,2746.0383750812252,2744.598712052557,2735.400163038271,2731.513290428531,2721.7902757476872,2706.3118758356845
4414.385160334368,2523.867802261741,2741.5766412177754,2739.8768058111773,2730.533334042592,2727.0310167232697,2717.01123809825,2700.668017997223
4475.782310091463,2523.70977688142,2736.1378769458643,2735.1933206744175,2725.467101041468,2721.841058502774,2711.601820624772,2694.665181984333
4537.4977272435735,2514.489939809094,2729.4000707789032,2729.1819059154827,2718.8137353177,2715.476209009538,2705.4482518871177,2688.3074759486103
4599.632503759,2505.154592127745,2723.635142339818,2723.53910865631,2712.706341241134,2709.323545333856,2699.338881021512,2681.4645791405255
4662.307709138297,2512.6556414497136,2716.952750915778,2717.9654243397945,2706.0610194039655,2702.525141668326,2693.295689267477,2675.1413462571973
4725.665467909686,2518.911811534822,2709.14,2711.7199999999993,2699.74,2695.15,2687.2,2668.268926476575
4789.869558451736,2513.0447117097196,2701.7944619457908,2705.0091573174864,2693.014844737106,2689.3288987783653,2680.4239545977966,2660.541680636407
4855.105471807582,2506.067076124561,2694.998863636356,2695.251136363623,2685.185227272718,2680.357727272717,2670.601818181809,2652.204552422959
4921.579896243539,2500.3897950966043,2687.508230894979,2685.366990541813,2676.576192085488,2672.465916578599,2663.6868575782614,2644.150836973565
