dist,z_bed,z_surf_1904,z_surf_1925,z_surf_1952,z_surf_1967,z_surf_1981
0.0,3006.73135,3261.7595390622,3261.767549766567,3254.7255134800034,3262.245130101205,3249.011842110005
44.257853768551115,3003.348447591181,3258.994193304139,3259.0141744399434,3251.4531667883984,3259.6622000408006,3244.445450451507
88.52496976136966,2997.012061248589,3254.7887185965883,3254.8700253886554,3248.6408533020426,3255.6402401351806,3240.0429003462464
132.8106222691967,2996.2327527814045,3250.2978566744746,3250.2707109476487,3246.2105269196036,3251.0929789025604,3234.2212132640666
177.1241096781549,2999.8545430296604,3246.9074543912725,3246.9309121938263,3243.4015209418812,3247.505493917609,3227.3979181113223
221.47476642276948,2999.6449775142423,3243.6504160219038,3243.66259464856,3240.633105362152,3244.2460170285567,3222.566692007158
265.8719748255633,2997.665758930495,3240.1990243186156,3240.2514819164116,3238.0496937544885,3240.9577759318363,3218.963922732386
310.32517678745035,2987.1679404463634,3234.4034386350054,3234.3431891168434,3235.4760510238048,3235.5073720111805,3215.455904815608
354.8438852890875,2987.61824406656,3228.7209035016026,3228.619844679909,3232.2577581458186,3229.7195269101844,3211.964885631517
399.4376956706104,2975.9094224111636,3222.074082233238,3222.9261600793557,3228.572784269173,3224.1710480331876,3208.1690942753526
444.11629665134825,2961.4763455252964,3216.1777348029004,3217.148736147429,3222.7653795857827,3218.2107182802533,3204.293326950617
488.889481056672,2945.8736379758075,3210.9331424877355,3212.0263643022517,3215.526366123927,3212.997910473485,3200.5363415799116
533.7671562167152,2928.6950544969086,3205.6039596907785,3207.4187199088983,3207.5964930779855,3208.1842357022674,3198.5201641360263
578.759354005445,2909.463242414358,3200.3105838709535,3202.870493951594,3199.413399449776,3203.6580754901997,3196.798544611882
623.8762404881046,2886.790166482924,3195.5648390075294,3197.8937305339387,3193.2527609469803,3198.685424244123,3195.021744099892
669.1281251466498,2864.280648839497,3190.7890035923824,3192.3760168340846,3189.443436492783,3193.10100415989,3193.5247480631388
714.5254696552597,2845.714376546226,3186.0149172959536,3186.5762132311393,3186.255167737059,3187.5058416341953,3192.313335553651
760.0788961783942,2841.391355533163,3181.5311897059046,3180.926792547799,3183.551684450812,3181.78596182363,3190.885955012539
805.7991951673259,2846.0307363990432,3178.489023444709,3179.8369075818628,3181.126245455841,3180.0,3188.5039858343875
851.6973326302154,2855.9886471107193,3176.303439022708,3177.8893421587354,3178.9454460894117,3178.3961291194673,3185.9697903093884
897.7844568570348,2866.714409874612,3174.0974624386395,3175.799760469974,3176.7087552256708,3176.358524573942,3183.4786447761326
944.0719045795274,2872.910566063123,3171.869483856991,3173.7276680941586,3174.136520532104,3174.3201540458044,3180.8890488930097
990.5712065501726,2878.441398526258,3169.6778355628276,3171.625568244666,3170.9924397581335,3172.161268981166,3177.4202555654883
1037.294092526421,2886.171656649971,3167.43480459349,3169.4202662315283,3166.4808794379855,3169.805267664582,3172.9729423386693
1084.2524956499783,2896.7165935877583,3165.189626662691,3166.7117004998195,3162.4501876858285,3165.64512002028,3168.800331588656
1131.4585562121804,2905.8750227627133,3162.9129127644724,3163.848772447711,3159.2835786762157,3161.148944585977,3165.508047127732
1178.9246248005254,2911.341210711099,3160.657006403433,3160.9186067359005,3155.7527659270436,3152.1865515304607,3160.6682086659257
1226.6632648246434,2920.1934961407933,3153.2195449259248,3156.7912947648347,3150.274510151383,3145.0743493816217,3154.7891931331105
1274.6856677099352,2927.1780579241067,3144.1328302879097,3151.6068773770808,3144.1520368884294,3138.817693452369,3148.221951086909
1322.9664291947233,2924.446997722515,3136.643995444866,3143.459801285213,3137.679077701383,3131.657722785554,3141.4700083398448
1371.4425600890272,2920.4007931209926,3130.3833347073455,3131.4341104748637,3127.773196630963,3123.960491441976,3133.674892637335
1420.0484284569568,2917.5175760572865,3124.13208766467,3121.372452631906,3121.0389619905227,3114.2561580490024,3124.271693524901
1468.7177156533294,2903.233604900414,3117.2244134461603,3112.159168626846,3114.3981592432397,3103.8360863706575,3113.680229940945
1517.3837715118607,2889.1846672533557,3108.978766031037,3102.0262551201226,3102.7647019031097,3093.257412881874,3102.161061162654
1565.9799626925674,2868.63661673787,3100.899022346161,3088.1518154887603,3090.0861269818024,3082.702329005285,3091.2846496845696
1614.440021376295,2844.8367764557893,3094.993802886093,3078.432470692864,3082.45851866164,3074.4751393532415,3081.0422597055267
1662.6984015028822,2820.638128927218,3089.460171487007,3072.625986419517,3074.2239042967212,3068.4826232937057,3073.9475748376035
1710.690649947241,2802.082726577766,3084.073470830182,3068.3041121964843,3069.48625522337,3064.6205027417463,3070.609374002587
1758.3538004098868,2789.8986931708655,3078.868987554704,3065.3688719814545,3065.321808306826,3060.664033994908,3067.6394845634327
1805.626798370949,2779.8977388635262,3073.9381840390915,3062.8206916340005,3062.5662896044837,3059.842045708746,3064.874168644491
1852.4509662102037,2771.1744688091085,3069.0353294403753,3060.832778470013,3060.6698723773343,3058.175554593853,3063.7678069438107
1898.77051851496,2764.2704639429357,3064.2484003193445,3059.124133727735,3059.1865734782637,3056.845396702377,3061.7306164304655
1944.5331386677801,2763.4044540675395,3059.8623772963406,3057.853077602297,3057.2163623429915,3054.649101531252,3059.4716582956003
1989.6906289466926,2766.6649334124822,3056.4620664271783,3056.87438416629,3055.4287054543333,3051.54594308016,3057.0617559689936
2034.1996475063856,2769.814002789046,3053.302801990642,3055.285296923394,3053.593639775554,3048.7160193744553,3054.9544308800178
2078.0225465504036,2773.0655119983144,3050.248455213993,3053.199324240846,3051.7543360529116,3046.542901167876,3052.9830155025134
2121.1283264871345,2777.275790082282,3047.2738610047836,3051.314185325878,3049.7293260540832,3044.4978250181634,3050.973009852359
2163.4937204648973,2785.180341756981,3044.398653001047,3048.9752163655085,3047.123690894928,3042.394982619944,3049.0012652697387
2205.104421776253,2802.0471403415067,3041.547737201931,3045.5262760435753,3044.786292948249,3040.1889518527787,3046.1742516350314
2245.9564623474025,2820.682507846787,3038.6667849371966,3041.729302892114,3042.045258818072,3037.5432252500036,3043.653667190689
2286.0577427212634,2836.2768919300843,3035.7934596343857,3038.1926185640987,3039.2957975336303,3035.0539348760485,3040.731381499948
2325.4297012154143,2849.141543928123,3032.8555619772005,3034.844946257019,3036.065555769324,3032.19146057182,3037.9088753371916
2364.109090804706,2856.6239794242315,3029.8964558506955,3031.4266616914256,3032.2624225651207,3028.809370807755,3034.8701192036974
2402.1498056269766,2860.240634905277,3026.9317496261647,3027.7141742963577,3027.856740990303,3024.6639981758285,3031.297246295938
2439.624664776348,2860.1389460455157,3023.9285699817233,3023.725701199999,3022.8824599763066,3020.775971764503,3027.1078393494354
2476.6270214406295,2856.6947384470786,3020.7881034739275,3019.4805617590696,3017.495468455488,3015.9450698270025,3022.047233678695
