x,y
936838.0,340899.0
936820.0529467849,340924.42424242425
936802.1340986881,340949.8484848485
936784.2716608284,340975.2727272727
936766.4938383237,341000.69696969696
936748.828836293,341026.1212121212
936731.3048598543,341051.54545454547
936713.9501141261,341076.9696969697
936696.792804227,341102.3939393939
936679.8611352752,341127.8181818182
936663.1833123894,341153.24242424243
936646.7875406878,341178.6666666667
936630.702025289,341204.0909090909
936614.9549713113,341229.51515151514
936599.574583873,341254.9393939394
936584.5890680929,341280.36363636365
936570.0266290891,341305.7878787879
936555.9154719801,341331.2121212121
936542.2838018845,341356.63636363635
936529.1598239205,341382.0606060606
936516.5717432067,341407.48484848486
936504.5477648614,341432.9090909091
936493.1160940031,341458.3333333333
936482.3049357502,341483.75757575757
936472.1424952211,341509.1818181818
936462.6569775344,341534.6060606061
936453.8765878084,341560.0303030303
936445.8295311613,341585.45454545453
936438.5435247159,341610.8787878788
936432.0200957246,341636.30303030304
936426.2218606604,341661.7272727273
936421.1082781475,341687.1515151515
936416.6388068099,341712.57575757575
936412.7729052717,341738.0
936409.4700321571,341763.42424242425
936406.6896460901,341788.8484848485
936404.3912056948,341814.2727272727
936402.5341695953,341839.69696969696
936401.0779964158,341865.1212121212
936399.9821447801,341890.54545454547
936399.2060733127,341915.9696969697
936398.7092406373,341941.3939393939
936398.4511053782,341966.8181818182
936398.3911261593,341992.24242424243
936398.4887616052,342017.6666666667
936398.7034703394,342043.0909090909
936398.9947109864,342068.51515151514
936399.3219421699,342093.9393939394
936399.6446225145,342119.36363636365
936399.922210644,342144.7878787879
936400.1141651823,342170.2121212121
936400.1799447539,342195.63636363635
936400.0790079826,342221.0606060606
936399.7708134927,342246.48484848486
936399.214819908,342271.9090909091
936398.370485853,342297.3333333333
936397.1972699513,342322.75757575757
936395.6546308275,342348.1818181818
936393.7020271055,342373.6060606061
936391.2989174091,342399.0303030303
936388.4057721809,342424.45454545453
936385.0034282831,342449.8787878788
936381.0915948002,342475.30303030304
936376.6706932506,342500.7272727273
936371.7411451528,342526.1515151515
936366.3033720251,342551.57575757575
936360.3577953862,342577.0
936353.9048367543,342602.42424242425
936346.9449176481,342627.8484848485
936339.4784595862,342653.2727272727
936331.5058840866,342678.69696969696
936323.0276126681,342704.1212121212
936314.0440668493,342729.54545454547
936304.5556681481,342754.9696969697
936294.5628380837,342780.3939393939
936284.0659981741,342805.8181818182
936273.0655699379,342831.24242424243
936261.5619748938,342856.6666666667
936249.5556657065,342882.0909090909
936237.053678144,342907.51515151514
936224.0777259343,342932.9393939394
936210.6515073095,342958.36363636365
936196.7987205021,342983.7878787879
936182.5430637446,343009.2121212121
936167.908235269,343034.63636363635
936152.9179333079,343060.0606060606
936137.5958560937,343085.48484848486
936121.9657018587,343110.9090909091
936106.0511688354,343136.3333333333
936089.8759552558,343161.75757575757
936073.4637593529,343187.1818181818
936056.8382793585,343212.6060606061
936040.023213505,343238.0303030303
936023.042260025,343263.45454545453
936005.919117151,343288.8787878788
935988.6774831149,343314.30303030304
935971.3410561496,343339.7272727273
935953.933534487,343365.1515151515
935936.4786163596,343390.57575757575
935919.0,343416.0
