glacier,stake,mean_slope_deg_full,mean_slope_rad_full,mean_slope_deg_6080,mean_slope_rad_6080
All,101,6.34624301642798,0.11076283576836485,5.920260080613953,0.1033280309810984
Arg,Wheel,24.130102055028388,0.4211497297024953,24.919853321390477,0.4349334895723085
Arg,4,4.886922968443685,0.08529289609067725,5.432417705390057,0.0948135753026918
Arg,5,4.383226794021304,0.07650173941730706,4.18584705287106,0.07305681305750117
Cor,A4,6.923810936028287,0.1208432976192841,6.460257904381419,0.11275277095944478
Cor,B4,3.3140120992407396,0.057840422582679976,3.1256593238946717,0.05455304649762189
Geb,sup,7.983299321787168,0.13933485833741638,7.71564618479934,0.13466342984368734
Geb,ss,5.122011886670413,0.08939597174868537,4.803198671399081,0.08383163144333117
Gie,5,4.8824668966333755,0.08521512296588205,7.3442052440181245,0.12818056245034987
Gie,102,16.425324513478387,0.28667599346873357,16.639939923446796,0.2904217389981998
GB,inf,17.6510520322205,0.30806897440308395,23.536026849026463,0.4107811613532981
GB,sup,18.84588192728522,0.32892269007322167,21.075331683308935,0.36783392882361976
MDG,ech,9.072544098772827,0.15834576605596748,7.3331466155147735,0.12798755297221148
MDG,trel,5.8447975584368415,0.10201096150724856,5.485704878694013,0.09574361192592666
MDG,tac,5.130532042881952,0.08954467652736096,4.99056259711138,0.08710174884647283
StSo,B,7.44213964471009,0.12988984019339206,8.579334747872307,0.14973763898112935
StSo,C,8.198097489362494,0.14308379358885634,9.276684334895581,0.1619086853121082
